sample_delay_us,ch1_V
-24.496000,-0.1816227
-24.488000,-0.1816227
-24.480000,-0.1815160
-24.472000,-0.1814627
-24.464000,-0.1814627
-24.456000,-0.1815160
-24.448000,-0.1815160
-24.440000,-0.1815694
-24.432000,-0.1816227
-24.424000,-0.1816227
-24.416000,-0.1816227
-24.408000,-0.1816227
-24.400000,-0.1815160
-24.392000,-0.1815160
-24.384000,-0.1815160
-24.376000,-0.1815160
-24.368000,-0.1814627
-24.360000,-0.1815694
-24.352000,-0.1815694
-24.344000,-0.1814627
-24.336000,-0.1814093
-24.328000,-0.1815160
-24.320000,-0.1815694
-24.312000,-0.1814627
-24.304000,-0.1814627
-24.296000,-0.1814627
-24.288000,-0.1815160
-24.280000,-0.1814627
-24.272000,-0.1814093
-24.264000,-0.1814627
-24.256000,-0.1814093
-24.248000,-0.1814627
-24.240000,-0.1815160
-24.232000,-0.1814627
-24.224000,-0.1814093
-24.216000,-0.1814093
-24.208000,-0.1814627
-24.200000,-0.1815160
-24.192000,-0.1814627
-24.184000,-0.1813560
-24.176000,-0.1813560
-24.168000,-0.1814093
-24.160000,-0.1814093
-24.152000,-0.1814627
-24.144000,-0.1813560
-24.136000,-0.1813027
-24.128000,-0.1813560
-24.120000,-0.1814627
-24.112000,-0.1814093
-24.104000,-0.1813560
-24.096000,-0.1813027
-24.088000,-0.1813027
-24.080000,-0.1813560
-24.072000,-0.1814093
-24.064000,-0.1813560
-24.056000,-0.1813560
-24.048000,-0.1814093
-24.040000,-0.1813027
-24.032000,-0.1812493
-24.024000,-0.1812493
-24.016000,-0.1813560
-24.008000,-0.1813560
-24.000000,-0.1813027
-23.992000,-0.1813027
-23.984000,-0.1813560
-23.976000,-0.1814093
-23.968000,-0.1814093
-23.960000,-0.1812493
-23.952000,-0.1811960
-23.944000,-0.1813027
-23.936000,-0.1813027
-23.928000,-0.1813027
-23.920000,-0.1813027
-23.912000,-0.1813027
-23.904000,-0.1813027
-23.896000,-0.1812493
-23.888000,-0.1811960
-23.880000,-0.1812493
-23.872000,-0.1812493
-23.864000,-0.1812493
-23.856000,-0.1812493
-23.848000,-0.1811960
-23.840000,-0.1812493
-23.832000,-0.1812493
-23.824000,-0.1813560
-23.816000,-0.1813027
-23.808000,-0.1812493
-23.800000,-0.1812493
-23.792000,-0.1812493
-23.784000,-0.1811960
-23.776000,-0.1811960
-23.768000,-0.1812493
-23.760000,-0.1812493
-23.752000,-0.1811960
-23.744000,-0.1813027
-23.736000,-0.1813560
-23.728000,-0.1812493
