sample_delay_us,ch1_V
-24.496000,-0.1981848
-24.488000,-0.1981848
-24.480000,-0.1981848
-24.472000,-0.1980247
-24.464000,-0.1980247
-24.456000,-0.1980781
-24.448000,-0.1981314
-24.440000,-0.1981314
-24.432000,-0.1981314
-24.424000,-0.1981848
-24.416000,-0.1981314
-24.408000,-0.1981314
-24.400000,-0.1980781
-24.392000,-0.1980247
-24.384000,-0.1980247
-24.376000,-0.1981314
-24.368000,-0.1981848
-24.360000,-0.1981314
-24.352000,-0.1981314
-24.344000,-0.1981848
-24.336000,-0.1981848
-24.328000,-0.1981314
-24.320000,-0.1980781
-24.312000,-0.1980781
-24.304000,-0.1981848
-24.296000,-0.1981848
-24.288000,-0.1981314
-24.280000,-0.1981314
-24.272000,-0.1981314
-24.264000,-0.1980781
-24.256000,-0.1981314
-24.248000,-0.1981314
-24.240000,-0.1981314
-24.232000,-0.1981314
-24.224000,-0.1981314
-24.216000,-0.1980781
-24.208000,-0.1980247
-24.200000,-0.1980247
-24.192000,-0.1980247
-24.184000,-0.1980781
-24.176000,-0.1980781
-24.168000,-0.1980781
-24.160000,-0.1980781
-24.152000,-0.1980781
-24.144000,-0.1980781
-24.136000,-0.1980247
-24.128000,-0.1980781
-24.120000,-0.1981314
-24.112000,-0.1981848
-24.104000,-0.1981314
-24.096000,-0.1980781
-24.088000,-0.1980247
-24.080000,-0.1980247
-24.072000,-0.1980247
-24.064000,-0.1980247
-24.056000,-0.1980247
-24.048000,-0.1980781
-24.040000,-0.1979714
-24.032000,-0.1980247
-24.024000,-0.1980781
-24.016000,-0.1981314
-24.008000,-0.1980781
-24.000000,-0.1981314
-23.992000,-0.1980781
-23.984000,-0.1980781
-23.976000,-0.1980247
-23.968000,-0.1978647
-23.960000,-0.1979181
-23.952000,-0.1980781
-23.944000,-0.1980781
-23.936000,-0.1979181
-23.928000,-0.1979181
-23.920000,-0.1979714
-23.912000,-0.1979714
-23.904000,-0.1978114
-23.896000,-0.1978114
-23.888000,-0.1979181
-23.880000,-0.1979714
-23.872000,-0.1979181
-23.864000,-0.1980247
-23.856000,-0.1979714
-23.848000,-0.1980247
-23.840000,-0.1980247
-23.832000,-0.1979714
-23.824000,-0.1979714
-23.816000,-0.1979181
-23.808000,-0.1979714
-23.800000,-0.1980781
-23.792000,-0.1979714
-23.784000,-0.1980247
-23.776000,-0.1980781
-23.768000,-0.1979714
-23.760000,-0.1979714
-23.752000,-0.1979714
-23.744000,-0.1979181
-23.736000,-0.1978647
-23.728000,-0.1979181
-23.720000,-0.1979714
-23.712000,-0.1979714
-23.704000,-0.1979714
-23.696000,-0.1979714
-23.688000,-0.1979181
-23.680000,-0.1979181
-23.672000,-0.1979181
-23.664000,-0.1979181
-23.656000,-0.1979181
-23.648000,-0.1979181
-23.640000,-0.1979181
-23.632000,-0.1979714
-23.624000,-0.1979181
-23.616000,-0.1979181
-23.608000,-0.1979181
-23.600000,-0.1979714
-23.592000,-0.1979714
-23.584000,-0.1979714
-23.576000,-0.1978647
-23.568000,-0.1978647
-23.560000,-0.1979181
-23.552000,-0.1979181
-23.544000,-0.1978647
-23.536000,-0.1978114
-23.528000,-0.1977580
-23.520000,-0.1978114
-23.512000,-0.1977580
-23.504000,-0.1977580
-23.496000,-0.1978114
-23.488000,-0.1977580
-23.480000,-0.1978114
-23.472000,-0.1978647
-23.464000,-0.1978647
-23.456000,-0.1978114
-23.448000,-0.1978114
-23.440000,-0.1978114
-23.432000,-0.1978647
-23.424000,-0.1978647
-23.416000,-0.1978647
-23.408000,-0.1978647
-23.400000,-0.1978114
-23.392000,-0.1977580
-23.384000,-0.1977047
-23.376000,-0.1977580
-23.368000,-0.1978114
-23.360000,-0.1978114
-23.352000,-0.1978114
-23.344000,-0.1978114
-23.336000,-0.1978647
-23.328000,-0.1978647
-23.320000,-0.1977580
-23.312000,-0.1977580
-23.304000,-0.1978647
-23.296000,-0.1979181
-23.288000,-0.1979181
-23.280000,-0.1978647
-23.272000,-0.1978114
-23.264000,-0.1978114
-23.256000,-0.1978114
-23.248000,-0.1978114
-23.240000,-0.1978114
-23.232000,-0.1978114
-23.224000,-0.1978114
-23.216000,-0.1978114
-23.208000,-0.1977047
-23.200000,-0.1977580
-23.192000,-0.1978114
-23.184000,-0.1977580
-23.176000,-0.1977047
-23.168000,-0.1976514
-23.160000,-0.1977047
-23.152000,-0.1977580
-23.144000,-0.1977580
-23.136000,-0.1977580
-23.128000,-0.1977047
-23.120000,-0.1978114
-23.112000,-0.1978647
-23.104000,-0.1978647
-23.096000,-0.1977047
-23.088000,-0.1976514
-23.080000,-0.1976514
-23.072000,-0.1976514
-23.064000,-0.1977047
-23.056000,-0.1977047
-23.048000,-0.1977580
-23.040000,-0.1977047
-23.032000,-0.1976514
-23.024000,-0.1977047
-23.016000,-0.1977047
-23.008000,-0.1977580
-23.000000,-0.1977580
-22.992000,-0.1976514
-22.984000,-0.1976514
-22.976000,-0.1976514
-22.968000,-0.1976514
-22.960000,-0.1976514
-22.952000,-0.1975980
-22.944000,-0.1975980
-22.936000,-0.1976514
-22.928000,-0.1975980
-22.920000,-0.1975980
-22.912000,-0.1975980
-22.904000,-0.1977047
-22.896000,-0.1977047
-22.888000,-0.1977047
-22.880000,-0.1976514
-22.872000,-0.1975980
-22.864000,-0.1975980
-22.856000,-0.1975447
-22.848000,-0.1975980
-22.840000,-0.1977047
-22.832000,-0.1976514
-22.824000,-0.1976514
-22.816000,-0.1976514
-22.808000,-0.1976514
-22.800000,-0.1977047
-22.792000,-0.1976514
-22.784000,-0.1975447
-22.776000,-0.1975447
-22.768000,-0.1975980
-22.760000,-0.1975447
-22.752000,-0.1975980
-22.744000,-0.1975980
-22.736000,-0.1975980
-22.728000,-0.1975980
-22.720000,-0.1976514
-22.712000,-0.1976514
-22.704000,-0.1976514
-22.696000,-0.1975980
-22.688000,-0.1976514
-22.680000,-0.1977047
-22.672000,-0.1976514
-22.664000,-0.1976514
-22.656000,-0.1975980
-22.648000,-0.1975980
-22.640000,-0.1975980
-22.632000,-0.1975447
-22.624000,-0.1975980
-22.616000,-0.1975447
-22.608000,-0.1974914
-22.600000,-0.1974914
-22.592000,-0.1974380
-22.584000,-0.1974914
-22.576000,-0.1975980
-22.568000,-0.1975980
-22.560000,-0.1974914
-22.552000,-0.1975447
-22.544000,-0.1975980
-22.536000,-0.1975980
-22.528000,-0.1975447
-22.520000,-0.1974380
-22.512000,-0.1974914
-22.504000,-0.1975980
-22.496000,-0.1975447
-22.488000,-0.1975447
-22.480000,-0.1975980
-22.472000,-0.1974914
-22.464000,-0.1974380
-22.456000,-0.1973847
-22.448000,-0.1974914
-22.440000,-0.1975980
-22.432000,-0.1974914
-22.424000,-0.1974380
-22.416000,-0.1974380
-22.408000,-0.1974380
-22.400000,-0.1974380
-22.392000,-0.1974914
-22.384000,-0.1975447
-22.376000,-0.1975447
-22.368000,-0.1974914
-22.360000,-0.1974380
-22.352000,-0.1974914
-22.344000,-0.1975447
-22.336000,-0.1974914
-22.328000,-0.1975447
-22.320000,-0.1974914
-22.312000,-0.1974914
-22.304000,-0.1974380
-22.296000,-0.1974380
-22.288000,-0.1974380
-22.280000,-0.1974380
-22.272000,-0.1973847
-22.264000,-0.1973847
-22.256000,-0.1973847
-22.248000,-0.1973847
-22.240000,-0.1973847
-22.232000,-0.1974380
-22.224000,-0.1974914
-22.216000,-0.1974380
-22.208000,-0.1973847
-22.200000,-0.1974380
-22.192000,-0.1975447
-22.184000,-0.1974914
-22.176000,-0.1973847
-22.168000,-0.1974380
-22.160000,-0.1974380
-22.152000,-0.1974380
-22.144000,-0.1973847
-22.136000,-0.1973313
-22.128000,-0.1973847
-22.120000,-0.1973847
-22.112000,-0.1973847
-22.104000,-0.1974380
-22.096000,-0.1974380
-22.088000,-0.1973313
-22.080000,-0.1973847
-22.072000,-0.1974914
-22.064000,-0.1973313
-22.056000,-0.1972247
-22.048000,-0.1972780
-22.040000,-0.1973313
-22.032000,-0.1973847
-22.024000,-0.1973313
-22.016000,-0.1973313
-22.008000,-0.1973847
-22.000000,-0.1974914
-21.992000,-0.1974380
-21.984000,-0.1973847
-21.976000,-0.1973847
-21.968000,-0.1973847
-21.960000,-0.1974380
-21.952000,-0.1975447
-21.944000,-0.1974380
-21.936000,-0.1973313
-21.928000,-0.1972780
-21.920000,-0.1973313
-21.912000,-0.1972780
-21.904000,-0.1972247
-21.896000,-0.1972780
-21.888000,-0.1973313
-21.880000,-0.1973847
-21.872000,-0.1973313
-21.864000,-0.1973313
-21.856000,-0.1973847
-21.848000,-0.1974380
-21.840000,-0.1974380
-21.832000,-0.1973847
-21.824000,-0.1972780
-21.816000,-0.1972780
-21.808000,-0.1972780
-21.800000,-0.1973313
-21.792000,-0.1973847
-21.784000,-0.1973313
-21.776000,-0.1973313
-21.768000,-0.1973847
-21.760000,-0.1973313
-21.752000,-0.1972780
-21.744000,-0.1972780
-21.736000,-0.1972780
-21.728000,-0.1972780
-21.720000,-0.1972247
-21.712000,-0.1972247
-21.704000,-0.1972780
-21.696000,-0.1973847
-21.688000,-0.1973313
-21.680000,-0.1972780
-21.672000,-0.1972780
-21.664000,-0.1972247
-21.656000,-0.1971713
-21.648000,-0.1972780
-21.640000,-0.1973313
-21.632000,-0.1973847
-21.624000,-0.1973313
-21.616000,-0.1972247
-21.608000,-0.1971713
-21.600000,-0.1971713
-21.592000,-0.1972247
-21.584000,-0.1972247
-21.576000,-0.1971713
-21.568000,-0.1971713
-21.560000,-0.1971713
-21.552000,-0.1971713
-21.544000,-0.1972247
-21.536000,-0.1973313
-21.528000,-0.1972780
-21.520000,-0.1971713
-21.512000,-0.1971713
-21.504000,-0.1971180
-21.496000,-0.1970646
-21.488000,-0.1970646
-21.480000,-0.1971180
-21.472000,-0.1972247
-21.464000,-0.1972780
-21.456000,-0.1972780
-21.448000,-0.1973313
-21.440000,-0.1972780
-21.432000,-0.1971713
-21.424000,-0.1971713
-21.416000,-0.1972247
-21.408000,-0.1971713
-21.400000,-0.1971713
-21.392000,-0.1972780
-21.384000,-0.1972247
-21.376000,-0.1972780
-21.368000,-0.1972247
-21.360000,-0.1971713
-21.352000,-0.1971713
-21.344000,-0.1971180
-21.336000,-0.1972247
-21.328000,-0.1971713
-21.320000,-0.1970646
-21.312000,-0.1970113
-21.304000,-0.1970646
-21.296000,-0.1970646
-21.288000,-0.1971180
-21.280000,-0.1971180
-21.272000,-0.1971713
-21.264000,-0.1971180
-21.256000,-0.1970646
-21.248000,-0.1970646
-21.240000,-0.1971180
-21.232000,-0.1971713
-21.224000,-0.1971180
-21.216000,-0.1970646
-21.208000,-0.1971180
-21.200000,-0.1972247
-21.192000,-0.1971713
-21.184000,-0.1970646
-21.176000,-0.1970113
-21.168000,-0.1970646
-21.160000,-0.1971180
-21.152000,-0.1970113
-21.144000,-0.1970113
-21.136000,-0.1970113
-21.128000,-0.1970113
-21.120000,-0.1970646
-21.112000,-0.1970646
-21.104000,-0.1970646
-21.096000,-0.1970646
-21.088000,-0.1971180
-21.080000,-0.1970646
-21.072000,-0.1970113
-21.064000,-0.1970113
-21.056000,-0.1971180
-21.048000,-0.1970646
-21.040000,-0.1970646
-21.032000,-0.1971180
-21.024000,-0.1971180
-21.016000,-0.1970646
-21.008000,-0.1970646
-21.000000,-0.1970646
-20.992000,-0.1970113
-20.984000,-0.1969579
-20.976000,-0.1969579
-20.968000,-0.1971180
-20.960000,-0.1970646
-20.952000,-0.1970646
-20.944000,-0.1971713
-20.936000,-0.1971713
-20.928000,-0.1970113
-20.920000,-0.1968513
-20.912000,-0.1968513
-20.904000,-0.1969579
-20.896000,-0.1970113
-20.888000,-0.1970113
-20.880000,-0.1970113
-20.872000,-0.1970113
-20.864000,-0.1969046
-20.856000,-0.1969046
-20.848000,-0.1969579
-20.840000,-0.1969579
-20.832000,-0.1969579
-20.824000,-0.1970113
-20.816000,-0.1970646
-20.808000,-0.1969579
-20.800000,-0.1968513
-20.792000,-0.1968513
-20.784000,-0.1969046
-20.776000,-0.1969046
-20.768000,-0.1968513
-20.760000,-0.1968513
-20.752000,-0.1969046
-20.744000,-0.1970113
-20.736000,-0.1970113
-20.728000,-0.1969579
-20.720000,-0.1970113
-20.712000,-0.1969579
-20.704000,-0.1969046
-20.696000,-0.1969046
-20.688000,-0.1969046
-20.680000,-0.1968513
-20.672000,-0.1969579
-20.664000,-0.1969046
-20.656000,-0.1970113
-20.648000,-0.1969579
-20.640000,-0.1969046
-20.632000,-0.1969579
-20.624000,-0.1969579
-20.616000,-0.1970113
-20.608000,-0.1969046
-20.600000,-0.1969046
-20.592000,-0.1969046
-20.584000,-0.1969046
-20.576000,-0.1969579
-20.568000,-0.1969579
-20.560000,-0.1969046
-20.552000,-0.1969579
-20.544000,-0.1969579
-20.536000,-0.1969579
-20.528000,-0.1969579
-20.520000,-0.1969579
-20.512000,-0.1969579
-20.504000,-0.1969046
-20.496000,-0.1969579
-20.488000,-0.1969046
-20.480000,-0.1969579
-20.472000,-0.1968513
-20.464000,-0.1967446
-20.456000,-0.1967446
-20.448000,-0.1967979
-20.440000,-0.1969046
-20.432000,-0.1968513
-20.424000,-0.1968513
-20.416000,-0.1969046
-20.408000,-0.1968513
-20.400000,-0.1968513
-20.392000,-0.1967979
-20.384000,-0.1968513
-20.376000,-0.1969046
-20.368000,-0.1968513
-20.360000,-0.1967979
-20.352000,-0.1967979
-20.344000,-0.1968513
-20.336000,-0.1967446
-20.328000,-0.1967446
-20.320000,-0.1967979
-20.312000,-0.1969046
-20.304000,-0.1968513
-20.296000,-0.1967979
-20.288000,-0.1967446
-20.280000,-0.1967979
-20.272000,-0.1967979
-20.264000,-0.1968513
-20.256000,-0.1968513
-20.248000,-0.1967979
-20.240000,-0.1967979
-20.232000,-0.1967979
-20.224000,-0.1966913
-20.216000,-0.1966379
-20.208000,-0.1966379
-20.200000,-0.1966913
-20.192000,-0.1967446
-20.184000,-0.1967979
-20.176000,-0.1967979
-20.168000,-0.1967979
-20.160000,-0.1967979
-20.152000,-0.1966913
-20.144000,-0.1967446
-20.136000,-0.1967446
-20.128000,-0.1966913
-20.120000,-0.1966913
-20.112000,-0.1966379
-20.104000,-0.1966379
-20.096000,-0.1967446
-20.088000,-0.1969046
-20.080000,-0.1967446
-20.072000,-0.1967446
-20.064000,-0.1966913
-20.056000,-0.1966379
-20.048000,-0.1967446
-20.040000,-0.1968513
-20.032000,-0.1967446
-20.024000,-0.1965846
-20.016000,-0.1965846
-20.008000,-0.1966379
-20.000000,-0.1966913
-19.992000,-0.1966913
-19.984000,-0.1966379
-19.976000,-0.1966379
-19.968000,-0.1966913
-19.960000,-0.1966913
-19.952000,-0.1966379
-19.944000,-0.1966379
-19.936000,-0.1966379
-19.928000,-0.1966913
-19.920000,-0.1966913
-19.912000,-0.1967446
-19.904000,-0.1966913
-19.896000,-0.1966913
-19.888000,-0.1967446
-19.880000,-0.1966913
-19.872000,-0.1965846
-19.864000,-0.1966379
-19.856000,-0.1966913
-19.848000,-0.1966379
-19.840000,-0.1966913
-19.832000,-0.1967446
-19.824000,-0.1967446
-19.816000,-0.1967446
-19.808000,-0.1966913
-19.800000,-0.1966379
-19.792000,-0.1966379
-19.784000,-0.1966379
-19.776000,-0.1966379
-19.768000,-0.1966913
-19.760000,-0.1967446
-19.752000,-0.1966379
-19.744000,-0.1965312
-19.736000,-0.1966379
-19.728000,-0.1965312
-19.720000,-0.1964512
-19.712000,-0.1964512
-19.704000,-0.1964512
-19.696000,-0.1966379
-19.688000,-0.1966379
-19.680000,-0.1966379
-19.672000,-0.1966379
-19.664000,-0.1966379
-19.656000,-0.1965846
-19.648000,-0.1965312
-19.640000,-0.1964512
-19.632000,-0.1965312
-19.624000,-0.1965846
-19.616000,-0.1965846
-19.608000,-0.1965846
-19.600000,-0.1966913
-19.592000,-0.1966379
-19.584000,-0.1966379
-19.576000,-0.1966379
-19.568000,-0.1966913
-19.560000,-0.1966379
-19.552000,-0.1965312
-19.544000,-0.1965846
-19.536000,-0.1966379
-19.528000,-0.1965846
-19.520000,-0.1965846
-19.512000,-0.1965846
-19.504000,-0.1965312
-19.496000,-0.1965312
-19.488000,-0.1964512
-19.480000,-0.1964512
-19.472000,-0.1964512
-19.464000,-0.1964512
-19.456000,-0.1964512
-19.448000,-0.1965312
-19.440000,-0.1965312
-19.432000,-0.1965846
-19.424000,-0.1965312
-19.416000,-0.1964512
-19.408000,-0.1964512
-19.400000,-0.1965846
-19.392000,-0.1965846
-19.384000,-0.1965312
-19.376000,-0.1965846
-19.368000,-0.1965846
-19.360000,-0.1965312
-19.352000,-0.1964512
-19.344000,-0.1964512
-19.336000,-0.1964512
-19.328000,-0.1964512
-19.320000,-0.1963979
-19.312000,-0.1964512
-19.304000,-0.1965312
-19.296000,-0.1964512
-19.288000,-0.1964512
-19.280000,-0.1965846
-19.272000,-0.1965846
-19.264000,-0.1965312
-19.256000,-0.1964512
-19.248000,-0.1964512
-19.240000,-0.1964512
-19.232000,-0.1963979
-19.224000,-0.1963445
-19.216000,-0.1963979
-19.208000,-0.1963979
-19.200000,-0.1964512
-19.192000,-0.1964512
-19.184000,-0.1963979
-19.176000,-0.1963979
-19.168000,-0.1963979
-19.160000,-0.1963979
-19.152000,-0.1963979
-19.144000,-0.1963979
-19.136000,-0.1964512
-19.128000,-0.1964512
-19.120000,-0.1963445
-19.112000,-0.1963445
-19.104000,-0.1963445
