sample_delay_us,air_mV
1.299999999999999822e+01,8.533749999999999147e+01
1.309999999999999964e+01,8.533749999999999147e+01
1.319999999999999929e+01,6.349109999999999587e+01
1.329999999999999893e+01,6.349109999999999587e+01
1.340000000000000036e+01,4.574089999999999634e+01
1.349999999999999822e+01,4.505819999999999936e+01
1.359999999999999964e+01,3.140419999999999945e+01
1.369999999999999929e+01,3.140419999999999945e+01
1.379999999999999893e+01,1.843290000000000006e+01
1.389999999999999858e+01,1.843290000000000006e+01
1.400000000000000000e+01,8.875099999999997991e+00
1.409999999999999787e+01,8.875099999999997991e+00
1.419999999999999929e+01,1.365399999999999947e+00
1.429999999999999893e+01,2.048099999999999810e+00
1.439999999999999858e+01,-4.778900000000000148e+00
1.450000000000000000e+01,-4.096199999999999619e+00
1.459999999999999787e+01,-8.192399999999999238e+00
1.469999999999999929e+01,-8.192399999999999238e+00
1.479999999999999893e+01,-1.092319999999999958e+01
1.489999999999999858e+01,-1.092319999999999958e+01
1.500000000000000000e+01,-1.297129999999999939e+01
1.509999999999999787e+01,-1.160589999999999833e+01
1.519999999999999929e+01,-1.365399999999999991e+01
1.529999999999999893e+01,-1.297129999999999939e+01
1.539999999999999858e+01,-2.321179999999999666e+01
1.549999999999999822e+01,-3.072149999999999892e+01
1.559999999999999964e+01,1.160589999999999833e+01
1.569999999999999929e+01,-1.638479999999999848e+01
1.579999999999999893e+01,-1.092319999999999958e+01
1.589999999999999858e+01,-1.365399999999999991e+01
1.600000000000000000e+01,-1.160589999999999833e+01
1.609999999999999787e+01,-1.228859999999999886e+01
1.619999999999999929e+01,-1.024049999999999905e+01
1.629999999999999716e+01,-1.092319999999999958e+01
1.639999999999999858e+01,-8.875099999999997991e+00
1.650000000000000000e+01,-9.557800000000000296e+00
1.659999999999999787e+01,-7.509699999999999598e+00
1.669999999999999929e+01,-8.192399999999999238e+00
1.680000000000000071e+01,-6.144299999999999429e+00
1.689999999999999858e+01,-6.826999999999999957e+00
1.699999999999999645e+01,-4.778900000000000148e+00
1.710000000000000142e+01,-5.461599999999999788e+00
1.719999999999999929e+01,-3.413499999999999979e+00
1.729999999999999716e+01,-4.778900000000000148e+00
1.739999999999999858e+01,-2.730799999999999894e+00
1.750000000000000000e+01,-2.730799999999999894e+00
1.759999999999999787e+01,-1.365399999999999947e+00
1.769999999999999574e+01,-2.048099999999999810e+00
1.780000000000000071e+01,0.000000000000000000e+00
1.789999999999999858e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.365399999999999947e+00
1.810000000000000142e+01,6.826999999999999735e-01
1.819999999999999929e+01,2.048099999999999810e+00
1.829999999999999716e+01,1.365399999999999947e+00
1.839999999999999858e+01,3.413499999999999979e+00
1.850000000000000000e+01,2.048099999999999810e+00
1.859999999999999787e+01,3.413499999999999979e+00
1.869999999999999929e+01,3.413499999999999979e+00
1.879999999999999716e+01,4.778900000000000148e+00
1.889999999999999858e+01,3.413499999999999979e+00
1.900000000000000000e+01,5.461599999999999788e+00
1.909999999999999787e+01,4.778900000000000148e+00
1.919999999999999929e+01,6.144299999999999429e+00
1.930000000000000071e+01,5.461599999999999788e+00
1.939999999999999858e+01,6.826999999999999957e+00
1.949999999999999645e+01,7.509699999999999598e+00
1.960000000000000142e+01,5.461599999999999788e+00
1.969999999999999929e+01,7.509699999999999598e+00
1.979999999999999716e+01,6.144299999999999429e+00
1.989999999999999858e+01,6.826999999999999957e+00
2.000000000000000000e+01,8.192399999999999238e+00
2.009999999999999787e+01,8.192399999999999238e+00
2.019999999999999574e+01,6.826999999999999957e+00
2.030000000000000071e+01,7.509699999999999598e+00
2.039999999999999858e+01,8.875099999999997991e+00
2.050000000000000000e+01,9.557800000000000296e+00
2.060000000000000142e+01,7.509699999999999598e+00
2.069999999999999929e+01,9.557800000000000296e+00
2.079999999999999716e+01,7.509699999999999598e+00
2.089999999999999858e+01,9.557800000000000296e+00
2.100000000000000000e+01,8.192399999999999238e+00
2.109999999999999787e+01,8.875099999999997991e+00
2.119999999999999574e+01,1.024049999999999905e+01
2.129999999999999716e+01,8.192399999999999238e+00
2.139999999999999858e+01,1.024049999999999905e+01
2.150000000000000000e+01,1.024049999999999905e+01
2.159999999999999787e+01,9.557800000000000296e+00
2.169999999999999929e+01,9.557800000000000296e+00
2.179999999999999716e+01,1.024049999999999905e+01
