session,target,distance_cm,pulse_us,threshold_v,delta_mV,plateau_amp_mV,splithalf_floor,quality,amp_mean_abs_mV
gui_20260713_212812,copper pipe,10,6.0,4.9,-8.531,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,4.8,15.533,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,4.7,-1.111,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,4.4,-1.847,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,4.2,-1.998,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,3.8,-2.461,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,2.4,-2.709,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,1.5,-2.432,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,6.0,0.5,-1.23,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,4.9,-1.163,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,4.8,-1.415,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,4.7,-1.273,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,4.4,-2.026,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,4.2,-2.318,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,3.8,-2.642,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,2.4,-2.952,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,1.5,-2.671,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,9.0,0.5,-1.445,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,4.9,-1.741,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,4.8,-1.532,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,4.7,-1.63,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,4.4,-2.436,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,4.2,-2.79,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,3.8,-3.243,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,2.4,-3.558,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,1.5,-2.976,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,13.44,0.5,-1.684,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,4.9,-1.492,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,4.8,-1.835,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,4.7,-1.764,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,4.4,-2.812,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,4.2,-3.085,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,3.8,-3.652,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,2.4,-4.062,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,1.5,-3.48,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,20.0,0.5,-1.721,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,4.9,-2.184,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,4.8,-2.04,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,4.7,-2.533,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,4.4,-3.157,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,4.2,-3.433,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,3.8,-4.359,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,2.4,-4.453,31.775,5.15,ok,3.168
