fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1576369,1781937040.8517,4711838,4160785,3517818,3004646,2498836,2004776,1503562,999336,497283,4691066,4246826,3626442,2982826,2470455,1974983,1477527,982532,486812,4733276,4193821,3571109,3063621,2558803,1947517,1539173,967388,475063,4474773,4099311,3454246,2959213,2461128,1969795,1473217,982608,458068,4463730,4192829,3456974,2955265,2464294,1968822,1454696,976963,486965
1576470,1781937040.9528,4711838,4160843,3517799,3004665,2498779,2004718,1503582,999336,497303,4690475,4246711,3626346,2982826,2470379,1974906,1477565,982589,486793,4733124,4193821,3571109,3063583,2558765,1947593,1539173,967388,475006,4474964,4099388,3454246,2959137,2461128,1969738,1473217,982589,458049,4463730,4192810,3456878,2955246,2464351,1968784,1454639,976963,486965
1576568,1781937041.0508,4711799,4160823,3517742,3004646,2498741,2004756,1503562,999393,497283,4689941,4246750,3626403,2982845,2470359,1974868,1477603,982589,486888,4733047,4193782,3571109,3063640,2558784,1947441,1539230,967445,475006,4474964,4099464,3454361,2959232,2461147,1969718,1473236,982589,458049,4463653,4192791,3456840,2955246,2464332,1968765,1454658,976924,486946
1576676,1781937041.1597,4711838,4160823,3517723,3004646,2498760,2004833,1503524,999431,497283,4689865,4246750,3626346,2982864,2470398,1974926,1477565,982608,486869,4733009,4193763,3571128,3063602,2558746,1947441,1539211,967445,474987,4474525,4099426,3454322,2959156,2461166,1969661,1473255,982627,458011,4463634,4192810,3456783,2955227,2464275,1968708,1454658,976924,487022
1576772,1781937041.2552,4711895,4160804,3517761,3004665,2498760,2004795,1503524,999450,497226,4689865,4246788,3626365,2982769,2470359,1974906,1477603,982589,486946,4732818,4193802,3571090,3063564,2558765,1947479,1539230,967445,474929,4474430,4099445,3454303,2959156,2461185,1969699,1473293,982513,457973,4463577,4192810,3456707,2955150,2464237,1968727,1454601,976867,487022
1576873,1781937041.3551,4711971,4160843,3517818,3004627,2498722,2004890,1503601,999412,497226,4689827,4246826,3626270,2982788,2470417,1974849,1477565,982608,486946,4732837,4193802,3571128,3063545,2558803,1947479,1539154,967464,474910,4474849,4099407,3454303,2959041,2461109,1969680,1473255,982475,457973,4463577,4192829,3456649,2955150,2464161,1968689,1454563,976829,486984
1576962,1781937041.4459,4712066,4160900,3517837,3004646,2498741,2004966,1503639,999469,497264,4690170,4246845,3626365,2982807,2470417,1974887,1477508,982589,486927,4732914,4193840,3571109,3063507,2558784,1947517,1539154,967407,474891,4474792,4099369,3454246,2959022,2461090,1969680,1473217,982475,457954,4463596,4192810,3456649,2955150,2464103,1968631,1454505,976772,486946
1577052,1781937041.5527,4712085,4161014,3517856,3004722,2498779,2005043,1503582,999431,497245,4690132,4246845,3626384,2982826,2470379,1974887,1477489,982589,486907,4732818,4193821,3571128,3063545,2558746,1947498,1539173,967426,474891,4474792,4099216,3454151,2958984,2461071,1969661,1473178,982475,457992,4463482,4192752,3456726,2955093,2464065,1968612,1454448,976734,486946
1577166,1781937041.6491,4712047,4161148,3517913,3004722,2498817,2005004,1503601,999469,497226,4690876,4246921,3626499,2982845,2470417,1974964,1477508,982589,486927,4732685,4193878,3571052,3063583,2558708,1947498,1539192,967388,474891,4474087,4099102,3454208,2958984,2461071,1969642,1473197,982475,457973,4463577,4192848,3456783,2955112,2464065,1968574,1454467,976734,486927
1577249,1781937041.7336,4712085,4161090,3517952,3004722,2498817,2005081,1503639,999507,497245,4691105,4247055,3626556,2982864,2470417,1974906,1477508,982551,486927,4732876,4193897,3570995,3063602,2558651,1947479,1539173,967388,474872,4474239,4099140,3454284,2958984,2461109,1969680,1473159,982456,457954,4463520,4192848,3456783,2955093,2464008,1968574,1454448,976753,486946
1577343,1781937041.8257,4712162,4161110,3517990,3004703,2498760,2005119,1503620,999488,497226,4690819,4247093,3626594,2982921,2470474,1974926,1477432,982570,486984,4732933,4193916,3571052,3063526,2558632,1947422,1539192,967388,474834,4474220,4099235,3454227,2958965,2461109,1969738,1473159,982494,457954,4463558,4192752,3456821,2955036,2463989,1968574,1454353,976753,486984
1577425,1781937041.9087,4712238,4161129,3517913,3004779,2498760,2005195,1503582,999469,497226,4690342,4247093,3626556,2982845,2470493,1974945,1477432,982589,486984,4732971,4193916,3571090,3063488,2558651,1947441,1539192,967426,474853,4474296,4099311,3454208,2958984,2461090,1969776,1473159,982532,457973,4463577,4192772,3456859,2955017,2463989,1968631,1454315,976696,487022
1577528,1781937042.0108,4712238,4161167,3517913,3004779,2498722,2005214,1503582,999450,497245,4691066,4247169,3626575,2982902,2470493,1974983,1477451,982551,486984,4733162,4194069,3571109,3063545,2558670,1947422,1539230,967426,474853,4474296,4099369,3454284,2958984,2461071,1969738,1473178,982532,458011,4463520,4192676,3456897,2955036,2463874,1968593,1454372,976676,487041
