# PIMD session dump
# session_start_iso: 2026-07-03T10:43:24.817738
# tool: pimd_classviz.py v1.18
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,3125,100000,13000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: (none)
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
2026-07-03T10:43:24.835862,3632396,4197845,3221302,2471370,1884651,1442565,1106987,842075,646648,496120,4142589,3203640,2459869,1878871,1441879,1102466,841312,644264,492572,4187469,3199367,2450046,1875534,1434345,1099891,842075,642662,493164,4188423,3200836,2446346,1877517,1431770,1100826,839920,642814,491561,4177284,3187999,2441749,1858291,1427459,1093463,835819,636787,491199,4155922,3161411,2423057,1846313,1411991,1082592,828304,631504,483722,4147415,3158569,2411670,1838493,1414985,1078987,825748,629673,485668,4193267,3229999,2491397,1916866,1471939,1131439,873870,668354,517196,0
2026-07-03T10:43:24.953981,3632527,4197807,3221302,2471351,1884651,1442565,1106967,842094,646648,496120,4142532,3203582,2459850,1878891,1441898,1102447,841331,644245,492610,4187412,3199272,2450008,1875534,1434345,1099910,842094,642662,493202,4188232,3200779,2446308,1877517,1431789,1100807,839958,642814,491542,4177188,3188037,2441711,1858310,1427516,1093444,835838,636787,491218,4155902,3161468,2423114,1846332,1412010,1082611,828304,631523,483703,4146995,3158340,2411575,1838455,1414966,1078968,825729,629673,485630,4193382,3229999,2491340,1916847,1471920,1131401,873889,668354,517196,0
2026-07-03T10:43:25.104354,3632658,4197826,3221264,2471313,1884632,1442565,1106948,842094,646648,496101,4142475,3203525,2459869,1878852,1441860,1102504,841331,644264,492553,4187355,3199272,2450046,1875515,1434421,1099891,842037,642643,493221,4188270,3200798,2446270,1877555,1431770,1100826,839958,642814,491523,4177112,3188037,2441730,1858272,1427536,1093444,835857,636806,491199,4156017,3161506,2423172,1846370,1412029,1082649,828323,631523,483703,4147071,3158340,2411613,1838398,1414985,1078968,825710,629692,485610,4193344,3229885,2491207,1916732,1471920,1131420,873870,668354,517177,0
2026-07-03T10:43:25.221230,3632794,4197883,3221244,2471370,1884632,1442604,1106987,842132,646629,496101,4142303,3203525,2459869,1878833,1441841,1102542,841388,644264,492534,4187297,3199272,2450046,1875534,1434459,1099891,842056,642662,493259,4188270,3200836,2446346,1877574,1431751,1100826,839958,642814,491523,4177131,3188076,2441787,1858310,1427593,1093444,835895,636825,491218,4155998,3161411,2423153,1846427,1412029,1082630,828323,631561,483722,4146843,3158226,2411594,1838398,1414985,1078987,825691,629711,485630,4193496,3230018,2491359,1916770,1472053,1131458,873909,668411,517196,0
2026-07-03T10:43:25.354202,3632927,4197807,3221225,2471351,1884651,1442604,1106948,842151,646648,496101,4142074,3203430,2459888,1878814,1441822,1102600,841407,644264,492553,4187278,3199176,2450027,1875534,1434421,1099891,842056,642681,493259,4188346,3200855,2446346,1877651,1431865,1100826,839958,642814,491523,4177208,3188076,2441768,1858291,1427631,1093463,835895,636825,491237,4156036,3161525,2423191,1846523,1412067,1082630,828323,631561,483760,4146957,3158378,2411632,1838474,1415004,1079044,825729,629730,485610,4193306,3230037,2491417,1916732,1472072,1131458,873966,668411,517215,0
2026-07-03T10:43:25.489878,3633063,4197807,3221225,2471389,1884632,1442585,1106948,842151,646629,496120,4142131,3203411,2459850,1878795,1441822,1102638,841426,644264,492553,4187145,3199157,2450046,1875534,1434383,1099910,842113,642623,493278,4188194,3200855,2446327,1877670,1431808,1100807,839939,642833,491523,4177169,3188095,2441768,1858291,1427707,1093483,835914,636825,491237,4155998,3161563,2423172,1846504,1412105,1082611,828323,631542,483760,4147110,3158359,2411689,1838493,1415004,1079025,825729,629730,485630,4193096,3230018,2491436,1916694,1472053,1131496,873966,668449,517215,0
2026-07-03T10:43:25.620386,3633194,4197769,3221225,2471428,1884651,1442585,1106929,842151,646610,496120,4141864,3203392,2459850,1878833,1441841,1102619,841407,644264,492553,4187069,3199100,2450027,1875515,1434364,1099872,842132,642623,493259,4188232,3200855,2446365,1877651,1431789,1100807,839958,642814,491523,4177150,3188076,2441787,1858291,1427688,1093463,835933,636806,491199,4155941,3161487,2423114,1846485,1412105,1082592,828323,631485,483760,4147243,3158416,2411670,1838455,1415062,1079044,825729,629711,485649,4193115,3230247,2491493,1916713,1472129,1131477,874004,668506,517253,0
2026-07-03T10:43:25.737592,3633311,4197693,3221244,2471370,1884632,1442604,1106891,842208,646629,496101,4141769,3203373,2459793,1878871,1441822,1102581,841407,644264,492553,4187126,3199195,2450027,1875534,1434364,1099853,842094,642623,493259,4188327,3200912,2446403,1877670,1431846,1100845,839958,642833,491504,4177131,3188057,2441768,1858291,1427707,1093444,835933,636768,491180,4155922,3161525,2423153,1846523,1412143,1082592,828323,631485,483779,4147091,3158283,2411632,1838436,1415023,1079006,825729,629711,485668,4193325,3230457,2491626,1916770,1472168,1131477,874061,668525,517292,0
2026-07-03T10:43:25.872167,3633445,4197654,3221244,2471389,1884632,1442585,1106891,842189,646648,496101,4141464,3203258,2459812,1878929,1441822,1102600,841407,644283,492515,4186973,3199157,2450046,1875515,1434364,1099853,842094,642643,493240,4188251,3200912,2446403,1877708,1431884,1100845,839920,642814,491504,4177112,3188057,2441787,1858272,1427688,1093444,835933,636787,491142,4155864,3161602,2423248,1846523,1412200,1082572,828342,631465,483798,4147091,3158245,2411670,1838436,1415042,1079025,825748,629711,485668,4193573,3230686,2491836,1916866,1472301,1131553,874137,668563,517292,0
2026-07-03T10:43:26.005557,3633578,4197674,3221302,2471428,1884651,1442604,1106891,842208,646629,496120,4141330,3203220,2459793,1878910,1441803,1102600,841369,644264,492496,4187145,3199253,2450008,1875553,1434345,1099815,842113,642604,493278,4188251,3200855,2446460,1877670,1431884,1100807,839901,642833,491485,4177112,3188076,2441825,1858272,1427631,1093463,835952,636825,491142,4155826,3161544,2423248,1846523,1412181,1082630,828361,631446,483779,4147529,3158455,2411708,1838436,1415081,1079025,825767,629692,485687,4193763,3230781,2492103,1917095,1472435,1131649,874214,668621,517349,0
2026-07-03T10:43:26.136393,3633709,4197674,3221359,2471428,1884651,1442642,1106910,842208,646610,496101,4141140,3203201,2459735,1878871,1441841,1102581,841407,644283,492515,4187049,3199215,2449932,1875534,1434364,1099815,842094,642585,493259,4188308,3200855,2446460,1877689,1431846,1100788,839901,642852,491504,4177150,3188076,2441806,1858234,1427631,1093444,835933,636844,491123,4155941,3161544,2423343,1846580,1412181,1082687,828418,631465,483798,4147472,3158512,2411728,1838512,1415100,1079044,825824,629730,485706,4193782,3230781,2492141,1917095,1472511,1131630,874233,668621,517330,0
2026-07-03T10:43:26.268856,3633842,4197674,3221168,2471447,1884594,1442661,1106891,842189,646610,496101,4141311,3203277,2459716,1878871,1441822,1102619,841445,644321,492534,4187049,3199291,2449951,1875591,1434364,1099796,842075,642585,493240,4188194,3200798,2446460,1877727,1431884,1100769,839901,642833,491504,4177093,3188095,2441806,1858196,1427688,1093483,835933,636863,491142,4155922,3161487,2423305,1846580,1412181,1082668,828418,631465,483798,4147720,3158683,2411804,1838512,1415119,1079063,825843,629749,485706,4193973,3231182,2492313,1917209,1472606,1131687,874290,668621,517368,0
2026-07-03T10:43:26.421938,3633978,4197693,3221130,2471428,1884555,1442680,1106910,842208,646591,496082,4141101,3203220,2459697,1878948,1441803,1102657,841465,644321,492534,4187240,3199272,2449951,1875591,1434345,1099796,842075,642547,493202,4188156,3200779,2446479,1877784,1431922,1100730,839939,642852,491485,4177055,3187999,2441825,1858177,1427669,1093463,835914,636882,491142,4155902,3161354,2423267,1846618,1412181,1082668,828399,631465,483779,4147758,3158645,2411804,1838474,1415081,1079082,825862,629749,485725,4194240,3231258,2492351,1917247,1472663,1131706,874424,668659,517368,0
2026-07-03T10:43:26.561484,3634134,4197712,3221149,2471428,1884536,1442680,1106929,842170,646572,496082,4141235,3203296,2459716,1878929,1441803,1102657,841465,644340,492534,4187202,3199234,2449875,1875610,1434345,1099777,842075,642566,493202,4188079,3200855,2446441,1877784,1431922,1100788,839939,642910,491466,4177074,3187999,2441845,1858158,1427650,1093521,835914,636882,491142,4155845,3161468,2423324,1846618,1412181,1082687,828437,631485,483760,4147892,3158741,2411861,1838607,1415157,1079101,825920,629787,485744,4194336,3231392,2492389,1917247,1472683,1131725,874462,668678,517349,0
2026-07-03T10:43:26.712158,3634286,4197769,3221149,2471447,1884498,1442680,1106929,842189,646591,496063,4141273,3203315,2459755,1878891,1441803,1102619,841445,644340,492496,4187107,3199272,2449836,1875629,1434402,1099777,842113,642547,493202,4188041,3200836,2446498,1877784,1431922,1100788,839958,642910,491466,4177036,3187980,2441825,1858158,1427669,1093483,835952,636882,491142,4155845,3161468,2423401,1846618,1412200,1082706,828456,631504,483779,4147720,3158607,2411708,1838588,1415138,1079101,825939,629825,485744,4194412,3231430,2492447,1917247,1472721,1131744,874481,668697,517368,0
2026-07-03T10:43:26.853392,3634416,4197750,3221149,2471408,1884536,1442718,1106929,842189,646610,496063,4141483,3203354,2459735,1878871,1441783,1102676,841426,644340,492496,4187221,3199291,2449913,1875610,1434383,1099796,842113,642566,493183,4187965,3200817,2446556,1877746,1431961,1100807,839958,642929,491466,4177112,3187942,2441768,1858139,1427631,1093483,835952,636901,491123,4155788,3161487,2423420,1846580,1412105,1082668,828456,631485,483760,4147663,3158588,2411670,1838569,1415119,1079063,825920,629825,485744,4194717,3231601,2492561,1917419,1472816,1131839,874500,668754,517406,0
2026-07-03T10:43:26.981576,3634555,4197674,3221130,2471485,1884594,1442680,1106910,842170,646629,496063,4141292,3203315,2459735,1878871,1441841,1102695,841407,644359,492515,4187240,3199215,2449836,1875648,1434421,1099777,842056,642585,493183,4187946,3200798,2446556,1877784,1431942,1100807,839958,642948,491466,4177188,3187961,2441768,1858158,1427650,1093483,835933,636920,491104,4155845,3161525,2423477,1846580,1412162,1082687,828456,631465,483760,4147625,3158645,2411689,1838531,1415157,1079120,825939,629844,485744,4194813,3231678,2492637,1917514,1472816,1131858,874538,668773,517406,0
2026-07-03T10:43:27.120677,3634692,4197674,3221092,2471504,1884574,1442661,1106910,842170,646629,496063,4141254,3203315,2459774,1878891,1441745,1102676,841426,644359,492515,4187221,3199234,2449836,1875724,1434440,1099796,842075,642585,493221,4187927,3200760,2446594,1877765,1431961,1100826,839939,642929,491447,4177208,3188018,2441730,1858196,1427650,1093540,835971,636940,491085,4155922,3161602,2423515,1846580,1412162,1082687,828475,631446,483760,4147739,3158588,2411651,1838550,1415195,1079158,825939,629844,485744,4194660,3231582,2492637,1917495,1472778,1131877,874557,668792,517406,0
2026-07-03T10:43:27.237131,3634810,4197693,3221168,2471485,1884536,1442661,1106853,842132,646610,496063,4141426,3203334,2459812,1878891,1441726,1102676,841426,644359,492534,4187126,3199215,2449836,1875724,1434459,1099815,842075,642604,493202,4188022,3200817,2446632,1877784,1431942,1100864,839920,642929,491447,4177169,3187980,2441730,1858158,1427650,1093521,836010,636940,491085,4156093,3161621,2423534,1846580,1412181,1082706,828495,631465,483779,4147739,3158607,2411594,1838569,1415176,1079196,825958,629844,485763,4194813,3231849,2492809,1917553,1472816,1131877,874557,668849,517425,0
2026-07-03T10:43:27.344984,3634915,4197674,3221168,2471580,1884517,1442680,1106872,842113,646610,496082,4141445,3203315,2459755,1878929,1441745,1102695,841407,644359,492515,4187278,3199310,2449855,1875705,1434459,1099815,842037,642604,493164,4187965,3200760,2446670,1877727,1431922,1100883,839939,642929,491447,4177112,3188037,2441730,1858196,1427650,1093502,836010,636959,491085,4156265,3161716,2423553,1846675,1412296,1082744,828495,631485,483818,4147968,3158645,2411670,1838684,1415252,1079254,825996,629901,485801,4195099,3231964,2492866,1917533,1472854,1131897,874576,668849,517463,0
2026-07-03T10:43:27.472202,3635044,4197654,3221149,2471561,1884498,1442680,1106872,842075,646648,496063,4141273,3203373,2459793,1878929,1441669,1102695,841407,644359,492515,4187412,3199348,2449875,1875705,1434459,1099834,842056,642623,493164,4188003,3200740,2446632,1877746,1431942,1100883,839939,642929,491447,4177169,3188037,2441673,1858234,1427707,1093502,835990,636959,491104,4156227,3161792,2423668,1846618,1412296,1082744,828533,631504,483837,4148101,3158702,2411747,1838684,1415214,1079254,825977,629901,485820,4195175,3231983,2492904,1917572,1472892,1131935,874614,668849,517463,0
2026-07-03T10:43:27.602855,3635176,4197674,3220958,2471599,1884517,1442680,1106872,842075,646648,496082,4141445,3203392,2459831,1878929,1441688,1102695,841445,644378,492515,4187355,3199367,2449836,1875629,1434459,1099815,842056,642604,493164,4188041,3200836,2446613,1877746,1431942,1100845,839939,642910,491447,4177150,3188076,2441654,1858253,1427707,1093444,835990,636940,491104,4156265,3161869,2423725,1846580,1412296,1082763,828571,631485,483837,4148044,3158626,2411689,1838665,1415252,1079254,825977,629920,485839,4195194,3231945,2492847,1917572,1472930,1131954,874633,668849,517482,0
