# PIMD session dump
# session_start_iso: 2026-07-03T11:04:47.674128
# tool: pimd_classviz.py v1.18
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,3125,100000,13000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: silver spoon 150g, stainless pipe 220g, aluminium plate  360g,  steel rhs 140g, roll of solder 260g, stainless steel disk 35g 
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
2026-07-03T11:04:47.771433,4915373,4195995,3218708,2468929,1881904,1440315,1104717,839920,645084,494556,4139537,3199939,2456379,1875953,1439189,1100006,839118,642337,490951,4184169,3194713,2445659,1871948,1431255,1097240,839729,640926,491638,4183883,3196544,2442302,1874065,1428661,1098136,837726,641117,490074,4172840,3183231,2437362,1854362,1424636,1090908,833797,635166,489826,4151420,3157158,2419605,1843433,1409740,1080951,826759,630435,483036,4144783,3155536,2409286,1836700,1413402,1077995,825099,629215,485534,4191684,3230152,2491130,1916523,1471824,1131134,873813,668487,517139,0
2026-07-03T11:04:47.892638,4915512,4195976,3218727,2468910,1881923,1440277,1104736,839881,645046,494537,4139804,3199997,2456455,1875915,1439170,1100006,839118,642318,490951,4184112,3194809,2445640,1871910,1431293,1097259,839748,640945,491638,4183826,3196525,2442321,1874084,1428680,1098175,837764,641136,490055,4172802,3183250,2437324,1854343,1424636,1090869,833759,635147,489845,4151497,3157138,2419567,1843376,1409740,1080894,826778,630455,483055,4144611,3155403,2409114,1836624,1413383,1077995,825119,629196,485515,4191799,3230304,2491169,1916523,1471786,1131095,873870,668468,517158,0
2026-07-03T11:04:48.023899,4915644,4196033,3218689,2468948,1881885,1440239,1104755,839901,645065,494556,4139537,3199882,2456436,1875934,1439189,1100006,839099,642318,490951,4183979,3194790,2445678,1871872,1431312,1097221,839767,640926,491600,4183845,3196487,2442302,1874065,1428642,1098194,837783,641117,490055,4172706,3183136,2437267,1854324,1424636,1090869,833778,635128,489826,4151458,3157177,2419548,1843395,1409740,1080875,826797,630435,483036,4144573,3155365,2409114,1836586,1413440,1078014,825138,629215,485496,4191703,3230056,2491130,1916542,1471786,1131076,873909,668487,517177,0
2026-07-03T11:04:48.176802,4915793,4195957,3218670,2469024,1881923,1440200,1104755,839920,645065,494556,4139747,3199958,2456455,1875934,1439189,1100044,839118,642299,490951,4183902,3194751,2445659,1871891,1431312,1097221,839748,640983,491542,4183712,3196430,2442321,1874065,1428642,1098156,837745,641098,490055,4172687,3183117,2437267,1854286,1424598,1090869,833778,635166,489845,4151535,3157158,2419548,1843433,1409702,1080932,826797,630435,483016,4144458,3155212,2409038,1836528,1413402,1077957,825099,629196,485496,4191665,3229999,2491054,1916484,1471710,1131038,873909,668449,517177,0
2026-07-03T11:04:48.308566,4915928,4195957,3218708,2469005,1881885,1440181,1104755,839920,645046,494556,4139537,3199997,2456417,1875858,1439189,1100006,839118,642318,490970,4183864,3194713,2445697,1871948,1431331,1097183,839729,641002,491542,4183712,3196487,2442302,1874046,1428642,1098175,837764,641117,490055,4172744,3183136,2437267,1854286,1424560,1090927,833797,635147,489845,4151497,3157158,2419548,1843414,1409702,1080932,826797,630435,483036,4144439,3155212,2409000,1836566,1413364,1077976,825080,629177,485477,4191494,3229923,2490882,1916332,1471614,1130981,873832,668411,517177,0
2026-07-03T11:04:48.417050,4916037,4196071,3218708,2469043,1881904,1440143,1104774,839939,645065,494556,4139690,3200035,2456379,1875877,1439132,1099987,839099,642337,490989,4183845,3194694,2445678,1871948,1431331,1097202,839691,640983,491542,4183750,3196449,2442321,1873989,1428604,1098194,837745,641117,490074,4172744,3183212,2437305,1854286,1424617,1090908,833778,635166,489826,4151497,3157119,2419529,1843471,1409759,1080970,826816,630455,483016,4144611,3155307,2409019,1836624,1413402,1077976,825099,629177,485477,4191589,3230114,2490997,1916351,1471672,1131000,873870,668430,517196,0
2026-07-03T11:04:48.550811,4916171,4196033,3218727,2469062,1881923,1440124,1104736,839958,645065,494575,4139766,3200092,2456359,1875877,1439094,1099968,839080,642318,490989,4183941,3194675,2445621,1871967,1431350,1097202,839691,640964,491542,4183673,3196468,2442321,1873970,1428585,1098194,837764,641117,490093,4172859,3183250,2437305,1854324,1424598,1090927,833778,635185,489826,4151554,3157158,2419510,1843547,1409778,1080989,826835,630455,482997,4144611,3155269,2409019,1836605,1413421,1078014,825080,629138,485458,4191398,3229828,2490596,1916084,1471500,1130924,873794,668411,517158,0
2026-07-03T11:04:48.679636,4916300,4196014,3218803,2469062,1881923,1440124,1104736,839920,645027,494556,4139652,3200111,2456359,1875820,1439132,1100006,839099,642299,490970,4183921,3194732,2445621,1871967,1431331,1097183,839729,640964,491542,4183769,3196449,2442321,1873951,1428566,1098213,837745,641136,490112,4172802,3183288,2437305,1854305,1424560,1090946,833778,635223,489845,4151611,3157081,2419490,1843528,1409759,1080989,826854,630455,482997,4144191,3154964,2408905,1836566,1413440,1077976,825042,629138,485439,4191074,3229522,2490482,1915950,1471386,1130828,873737,668373,517139,0
2026-07-03T11:04:48.807713,4916428,4196033,3218765,2469082,1881942,1440143,1104736,839901,645008,494556,4139652,3200111,2456417,1875820,1439113,1100006,839061,642299,490951,4183693,3194751,2445621,1871929,1431331,1097202,839729,640945,491542,4183750,3196392,2442302,1873931,1428489,1098232,837802,641136,490112,4172802,3183345,2437324,1854305,1424541,1090889,833816,635204,489864,4151687,3157081,2419490,1843528,1409740,1080989,826835,630435,482959,4144401,3155136,2408962,1836586,1413421,1077976,825023,629138,485439,4191417,3229541,2490501,1915893,1471328,1130847,873718,668373,517120,0
2026-07-03T11:04:48.917004,4916537,4196014,3218784,2469177,1881961,1440105,1104755,839920,645008,494556,4139995,3200092,2456417,1875801,1439132,1100044,839080,642299,490951,4183654,3194675,2445640,1871852,1431369,1097221,839729,640926,491561,4183712,3196411,2442283,1873951,1428432,1098213,837821,641136,490131,4172725,3183307,2437305,1854362,1424560,1090889,833816,635223,489864,4151764,3157043,2419471,1843547,1409778,1081008,826892,630435,482959,4144401,3155098,2409019,1836566,1413440,1077957,824985,629119,485439,4191627,3229675,2490577,1915893,1471309,1130905,873718,668430,517158,0
2026-07-03T11:04:49.077855,4916681,4196090,3218784,2469101,1881961,1440105,1104755,839920,644989,494537,4140014,3200111,2456436,1875801,1439151,1100025,839061,642318,490932,4183616,3194656,2445659,1871891,1431350,1097240,839748,640964,491580,4183807,3196411,2442226,1873989,1428413,1098232,837841,641117,490112,4172725,3183288,2437305,1854286,1424579,1090965,833854,635223,489883,4151859,3157043,2419395,1843566,1409816,1081008,826892,630416,482940,4144096,3155117,2409038,1836547,1413478,1077938,824985,629119,485439,4191703,3229560,2490615,1915893,1471386,1130924,873737,668468,517158,0
2026-07-03T11:04:49.210387,4916830,4196071,3218841,2469005,1881980,1440105,1104755,839958,644969,494518,4139900,3200016,2456359,1875858,1439132,1100025,839061,642318,490932,4183521,3194675,2445621,1871872,1431312,1097240,839805,640964,491580,4183807,3196315,2442226,1874008,1428375,1098232,837879,641155,490112,4172744,3183307,2437248,1854305,1424560,1091022,833873,635223,489902,4151840,3157100,2419414,1843624,1409816,1081028,826911,630397,482921,4144020,3155136,2409057,1836490,1413497,1077957,825023,629138,485439,4191703,3229522,2490577,1915836,1471347,1130886,873756,668449,517158,0
