# PIMD session dump
# session_start_iso: 2026-07-03T11:15:33.517423
# tool: pimd_classviz.py v1.18
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,3125,100000,13000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: run #3 final.  lead pipe 200g, cast iron trivel 100g, brass valve 700g, stainless steel shackle 62g, brass block 370g (this last one a repeat )
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
2026-07-03T11:15:33.596332,5561227,4196510,3219547,2469654,1881961,1440334,1104755,839862,644760,494308,4139576,3199825,2455959,1875114,1438598,1099720,838718,641937,490455,4183292,3193664,2444725,1870937,1430244,1096630,839138,640087,491065,4182262,3194160,2440548,1872329,1427402,1097240,837001,640354,489425,4169902,3179836,2434558,1851863,1422290,1089229,832634,634155,489006,4146862,3151607,2414512,1838836,1406345,1078147,824794,628662,481624,4137477,3147583,2402286,1830539,1408748,1074466,822048,626831,483684,4183883,3219547,2480812,1907672,1464672,1125660,869293,664691,514278,0
2026-07-03T11:15:33.720810,5561365,4196548,3219528,2469596,1881980,1440334,1104755,839862,644779,494327,4139480,3199787,2455940,1875133,1438636,1099700,838699,641956,490474,4183235,3193607,2444763,1870899,1430263,1096630,839118,640087,491085,4182396,3194217,2440509,1872367,1427402,1097221,837001,640354,489425,4169883,3179855,2434520,1851844,1422329,1089191,832595,634155,488986,4146881,3151531,2414493,1838798,1406269,1078109,824775,628681,481624,4137363,3147525,2402210,1830501,1408748,1074466,822067,626831,483665,4183807,3219490,2480831,1907653,1464672,1125679,869312,664672,514278,0
2026-07-03T11:15:33.857368,5561501,4196586,3219547,2469596,1881942,1440334,1104755,839843,644779,494327,4139557,3199882,2455921,1875095,1438655,1099720,838718,641975,490474,4183235,3193645,2444744,1870918,1430263,1096630,839138,640106,491085,4182376,3194217,2440452,1872348,1427383,1097183,836982,640373,489444,4169788,3179874,2434520,1851882,1422309,1089153,832595,634155,489006,4146862,3151569,2414436,1838760,1406230,1078052,824775,628681,481643,4137077,3147297,2402057,1830444,1408615,1074409,822029,626792,483665,4183387,3219280,2480640,1907539,1464595,1125621,869293,664615,514259,0
2026-07-03T11:15:33.977976,5561622,4196625,3219509,2469616,1881980,1440258,1104793,839862,644798,494365,4139518,3199901,2455978,1875114,1438617,1099700,838699,641994,490493,4183197,3193626,2444763,1870918,1430320,1096649,839157,640087,491085,4182376,3194275,2440433,1872329,1427402,1097164,836944,640373,489425,4169769,3179893,2434520,1851825,1422348,1089134,832595,634174,489025,4146862,3151531,2414455,1838741,1406230,1078052,824794,628681,481643,4137268,3147297,2402019,1830463,1408653,1074390,822010,626792,483646,4183330,3219242,2480659,1907482,1464576,1125602,869274,664596,514221,0
2026-07-03T11:15:34.117295,5561762,4196605,3219452,2469616,1881942,1440277,1104774,839862,644779,494346,4139270,3199882,2456054,1875133,1438579,1099796,838699,642013,490493,4183235,3193683,2444820,1870918,1430339,1096592,839138,640049,491104,4182434,3194236,2440433,1872348,1427402,1097183,836944,640411,489444,4169693,3179855,2434501,1851768,1422348,1089115,832576,634174,489025,4146881,3151512,2414455,1838741,1406250,1078014,824756,628662,481605,4137230,3147239,2402000,1830444,1408596,1074371,821990,626773,483646,4183292,3219146,2480678,1907501,1464538,1125602,869216,664577,514202,0
2026-07-03T11:15:34.292627,5561915,4196663,3219509,2469539,1882019,1440239,1104717,839901,644798,494384,4139232,3199825,2456035,1875095,1438522,1099758,838718,642032,490474,4183254,3193760,2444782,1870918,1430378,1096572,839118,640029,491085,4182434,3194236,2440433,1872329,1427421,1097183,836925,640392,489444,4169674,3179817,2434520,1851787,1422348,1089115,832576,634155,489025,4146919,3151550,2414455,1838722,1406269,1078014,824737,628643,481605,4137039,3147297,2401943,1830425,1408615,1074371,821990,626773,483646,4183311,3219070,2480545,1907444,1464519,1125564,869178,664539,514183,0
2026-07-03T11:15:34.420763,5562064,4196644,3219528,2469558,1882019,1440277,1104679,839901,644817,494422,4139175,3199825,2455997,1875133,1438560,1099777,838718,642013,490474,4183082,3193683,2444744,1870899,1430378,1096592,839138,640010,491085,4182567,3194313,2440452,1872329,1427421,1097183,836982,640373,489463,4169635,3179817,2434501,1851787,1422348,1089115,832557,634136,489006,4146919,3151550,2414493,1838779,1406269,1078052,824718,628623,481605,4136829,3147182,2401886,1830425,1408634,1074390,821971,626773,483627,4183254,3219185,2480602,1907501,1464576,1125583,869216,664539,514202,0
2026-07-03T11:15:34.568655,5562212,4196605,3219432,2469539,1882019,1440296,1104660,839881,644779,494442,4139576,3199863,2455997,1875209,1438579,1099758,838756,641994,490455,4183101,3193721,2444782,1870899,1430320,1096572,839138,640010,491085,4182396,3194332,2440395,1872348,1427421,1097183,836963,640354,489482,4169731,3179817,2434539,1851768,1422367,1089134,832538,634155,489025,4146995,3151588,2414531,1838798,1406250,1078090,824699,628623,481624,4136867,3147297,2401962,1830444,1408653,1074447,821971,626773,483684,4182968,3219204,2480583,1907539,1464576,1125602,869197,664520,514221,0
2026-07-03T11:15:34.709072,5562351,4196567,3219490,2469482,1882019,1440315,1104698,839881,644798,494403,4139614,3199844,2455997,1875209,1438598,1099758,838756,641956,490455,4183197,3193798,2444744,1870899,1430378,1096611,839157,640010,491085,4182453,3194332,2440395,1872348,1427383,1097164,836982,640316,489482,4169693,3179779,2434482,1851806,1422329,1089153,832519,634174,489025,4146938,3151550,2414531,1838779,1406250,1078109,824718,628623,481643,4136734,3147239,2401962,1830482,1408615,1074428,821952,626773,483665,4183101,3219108,2480468,1907520,1464595,1125602,869216,664501,514221,0
2026-07-03T11:15:34.837004,5562477,4196605,3219452,2469463,1882057,1440353,1104717,839881,644798,494422,4139366,3199844,2455978,1875171,1438541,1099758,838756,641937,490455,4183197,3193893,2444782,1870918,1430397,1096572,839157,639991,491065,4182300,3194294,2440395,1872367,1427383,1097164,836982,640316,489521,4169712,3179741,2434482,1851806,1422329,1089172,832519,634155,489025,4146862,3151531,2414569,1838798,1406230,1078167,824718,628623,481662,4136791,3147277,2401943,1830444,1408691,1074428,821952,626792,483646,4182949,3218975,2480392,1907444,1464557,1125583,869255,664501,514221,0
2026-07-03T11:15:34.946640,5562591,4196644,3219509,2469463,1882057,1440353,1104736,839901,644779,494422,4139442,3199844,2456016,1875171,1438522,1099777,838756,641937,490436,4183197,3193874,2444801,1870918,1430378,1096592,839118,640010,491065,4182338,3194313,2440414,1872425,1427383,1097126,836944,640335,489540,4169750,3179798,2434463,1851825,1422290,1089153,832519,634174,489044,4146938,3151512,2414608,1838855,1406230,1078205,824737,628643,481681,4136829,3147411,2402000,1830520,1408710,1074447,821990,626792,483608,4183254,3219051,2480545,1907558,1464595,1125698,869293,664482,514278,0
2026-07-03T11:15:35.091186,5562736,4196625,3219490,2469482,1882000,1440315,1104698,839901,644779,494422,4139270,3199920,2455997,1875171,1438541,1099758,838737,641918,490474,4183273,3193874,2444801,1870918,1430397,1096572,839118,640049,491046,4182319,3194236,2440376,1872406,1427383,1097106,836925,640335,489540,4169807,3179855,2434387,1851863,1422329,1089172,832538,634174,489006,4147091,3151474,2414589,1838874,1406211,1078224,824737,628623,481700,4137249,3147640,2402134,1830635,1408767,1074447,822010,626773,483608,4183540,3219432,2480659,1907596,1464634,1125698,869331,664501,514278,0
