# PIMD session dump
# session_start_iso: 2026-07-07T14:37:23.869025
# tool: pimd_classviz.py v1.22
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,10000,20000,10000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: Training Session run list:
# session_notes: 1. air @0cm
# session_notes: 2. copper pipe CANARY-START @5cm
# session_notes: 3. air @0cm
# session_notes: 4. copper pipe @5cm
# session_notes: 5. copper pipe @10cm
# session_notes: 6. copper pipe @15cm
# session_notes: 7. air @0cm
# session_notes: 8. steel spanner @5cm
# session_notes: 9. steel spanner @10cm
# session_notes: 10. steel spanner @15cm
# session_notes: 11. air @0cm
# session_notes: 12. cast iron trivet @5cm
# session_notes: 13. cast iron trivet @10cm
# session_notes: 14. cast iron trivet @15cm
# session_notes: 15. air @0cm
# session_notes: 16. galvanized pipe @5cm
# session_notes: 17. galvanized pipe @10cm
# session_notes: 18. galvanized pipe @15cm
# session_notes: 19. air @0cm
# session_notes: 20. copper pipe CANARY-END @5cm
# session_notes: 21. air @0cm
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
# mark: 2026-07-07T14:37:23.871051, air
2026-07-07T14:37:23.951358,11252052,2240944,1469020,1031818,731468,522499,371112,257205,177497,118885,2168750,1435260,1005382,712089,508670,359020,248985,170440,113048,2214393,1428852,996055,706596,502243,355396,247612,168933,112934,2224464,1434364,996685,709400,502796,357513,248374,170612,114059,2204418,1416969,987701,695896,498332,352935,246295,168533,114536,2043781,1297817,902557,633926,449275,316791,219955,149497,99391,1843147,1161117,797042,556068,394058,273208,187454,125217,82206,1714801,1080951,743484,520515,364971,253829,174636,115737,74787,0
2026-07-07T14:37:24.084901,11252175,2240905,1469039,1031799,731449,522499,371112,257186,177478,118865,2168312,1435222,1005344,712089,508708,359039,249004,170421,113048,2214374,1428871,996036,706596,502204,355377,247612,168933,112934,2224502,1434364,996723,709381,502796,357494,248394,170612,114059,2204303,1416873,987663,695877,498352,352916,246276,168552,114536,2043628,1297683,902557,633907,449256,316810,219955,149517,99411,1843109,1161117,797023,556068,394058,273208,187473,125217,82130,1715259,1081256,743560,520572,365009,253849,174636,115776,74768,0
2026-07-07T14:37:24.214378,11252319,2241077,1469173,1031913,731544,522556,371150,257205,177497,118885,2167854,1435279,1005401,712165,508785,359058,249004,170440,113048,2214107,1428833,996074,706615,502223,355396,247650,168972,112915,2224502,1434269,996704,709381,502796,357456,248394,170612,114059,2204399,1416854,987625,695877,498294,352916,246257,168571,114536,2043552,1297760,902557,633888,449237,316810,219955,149517,99391,1843051,1161136,797042,556068,394058,273227,187492,125217,82149,1715049,1081123,743408,520477,364952,253810,174655,115756,74787,0
2026-07-07T14:37:24.352113,11252456,2240848,1469020,1031818,731468,522518,371112,257186,177478,118865,2168102,1435184,1005344,712127,508766,358982,248985,170402,113029,2214050,1428909,996093,706577,502223,355396,247669,168972,112895,2224426,1434192,996665,709381,502777,357437,248394,170612,114059,2204551,1416931,987758,695953,498371,352954,246295,168590,114593,2043800,1297779,902576,633888,449237,316810,219936,149497,99372,1843071,1161117,797042,556068,394058,273246,187492,125217,82168,1714668,1080875,743312,520458,364933,253810,174636,115756,74787,0
2026-07-07T14:37:24.464544,11252570,2240791,1469020,1031799,731468,522499,371131,257167,177497,118865,2168026,1435108,1005344,712184,508766,358982,248985,170402,113010,2214698,1429042,996151,706596,502243,355396,247669,168972,112895,2224350,1434135,996608,709362,502777,357418,248413,170612,114059,2204551,1416950,987758,695953,498390,352954,246315,168590,114593,2043819,1297740,902576,633869,449237,316829,219936,149478,99372,1842765,1161022,797023,556068,394039,273246,187511,125217,82168,1715107,1080875,743293,520477,364933,253829,174636,115756,74787,0
2026-07-07T14:37:24.589962,11252695,2240848,1469001,1031780,731468,522499,371131,257148,177516,118846,2167682,1434974,1005344,712204,508766,359020,249004,170383,112991,2214489,1429042,996208,706596,502262,355415,247669,168972,112895,2224311,1434154,996627,709362,502777,357399,248451,170631,114059,2204609,1417026,987720,695972,498428,352973,246334,168590,114631,2043800,1297836,902576,633888,449237,316829,219936,149497,99372,1842594,1161003,797023,556068,394039,273265,187492,125198,82130,1715316,1080875,743293,520496,364933,253849,174636,115737,74806,0
2026-07-07T14:37:24.719278,11252824,2240944,1469001,1031761,731487,522537,371131,257129,177516,118846,2167892,1434974,1005382,712165,508785,359001,248985,170364,112991,2214546,1429061,996189,706577,502262,355415,247669,168991,112915,2224254,1434116,996570,709342,502796,357379,248432,170631,114078,2204513,1417026,987758,696010,498447,353012,246334,168628,114650,2043800,1297836,902576,633869,449237,316791,219917,149478,99391,1842556,1160926,797023,556030,394039,273265,187492,125179,82111,1715469,1080875,743312,520515,364933,253849,174636,115737,74768,0
2026-07-07T14:37:24.851461,11252950,2240886,1469020,1031780,731449,522556,371150,257148,177516,118808,2167892,1434993,1005382,712165,508747,359001,248985,170383,112991,2214603,1429061,996227,706558,502262,355415,247669,169029,112934,2224350,1434097,996551,709285,502796,357379,248432,170631,114078,2204494,1417083,987758,696029,498428,353012,246372,168628,114650,2043972,1297893,902557,633850,449218,316791,219917,149478,99391,1842632,1160965,797081,556030,394058,273246,187492,125179,82111,1715374,1080894,743389,520534,364913,253829,174674,115737,74768,0
2026-07-07T14:37:24.967288,11253072,2240905,1469020,1031780,731449,522556,371150,257148,177497,118808,2167587,1434879,1005401,712127,508785,358982,248966,170383,112991,2214717,1429081,996208,706539,502262,355453,247669,169048,112953,2224197,1434059,996589,709304,502777,357399,248432,170631,114078,2204551,1417102,987777,696010,498409,352973,246372,168628,114669,2044086,1297950,902595,633869,449218,316734,219917,149478,99372,1842632,1161022,797138,556030,394077,273284,187492,125179,82092,1715583,1080951,743408,520553,364894,253849,174694,115718,74768,0
2026-07-07T14:37:25.112859,11253218,2240924,1469020,1031799,731468,522537,371170,257167,177478,118808,2167720,1434936,1005401,712108,508804,358982,248966,170402,112991,2215213,1429214,996303,706596,502281,355472,247669,169067,112972,2224273,1434116,996646,709362,502815,357437,248470,170631,114097,2204780,1417217,987834,696048,498428,352993,246391,168647,114669,2044124,1297969,902576,633850,449218,316696,219917,149459,99334,1842460,1160965,797081,556030,394058,273284,187492,125160,82073,1715488,1080913,743370,520572,364856,253810,174694,115718,74768,0
2026-07-07T14:37:25.251438,11253356,2240944,1469001,1031799,731487,522518,371208,257167,177497,118827,2167682,1434993,1005382,712089,508785,358982,248966,170383,112991,2214794,1428966,996170,706558,502281,355453,247650,169067,112972,2224292,1434097,996570,709323,502796,357437,248508,170631,114078,2204799,1417179,987777,696029,498428,352993,246391,168685,114669,2044029,1297779,902423,633754,449180,316658,219898,149459,99315,1842327,1160831,797023,555954,394020,273284,187492,125160,82092,1715755,1080932,743465,520534,364856,253849,174674,115718,74787,0
2026-07-07T14:37:25.378834,11253484,2240924,1469020,1031761,731430,522556,371170,257167,177536,118827,2167682,1434879,1005382,712127,508785,359001,248966,170402,113010,2214851,1429081,996189,706558,502338,355472,247669,169067,112934,2224273,1434059,996475,709304,502738,357437,248508,170650,114078,2204780,1417141,987739,696048,498447,353012,246353,168704,114669,2044048,1297760,902404,633754,449180,316638,219936,149459,99315,1842479,1160926,797042,555973,394020,273284,187492,125160,82111,1715755,1080913,743427,520534,364837,253849,174694,115737,74806,0
2026-07-07T14:37:25.518611,11253623,2240924,1469020,1031761,731430,522556,371170,257167,177516,118827,2167797,1434841,1005363,712146,508785,358982,248966,170383,113010,2214698,1429023,996151,706577,502357,355472,247688,169067,112915,2224292,1434021,996437,709323,502758,357437,248489,170650,114059,2204971,1417198,987815,696086,498466,353031,246334,168704,114688,2043819,1297550,902233,633678,449142,316619,219898,149459,99296,1842746,1160984,797081,555973,394039,273284,187492,125160,82111,1715908,1080989,743446,520534,364856,253810,174655,115718,74806,0
2026-07-07T14:37:25.664706,11253759,2240905,1469001,1031761,731449,522537,371131,257167,177497,118827,2168007,1434879,1005363,712165,508766,358982,248966,170402,113029,2214813,1429081,996208,706615,502338,355453,247707,169086,112895,2224273,1434040,996456,709323,502738,357456,248470,170650,114097,2204856,1417141,987777,696048,498466,352993,246334,168685,114688,2043762,1297512,902214,633640,449142,316619,219917,149421,99296,1842784,1160965,797100,555992,394039,273265,187473,125179,82111,1715793,1081028,743465,520572,364894,253791,174694,115718,74825,0
2026-07-07T14:37:25.800617,11253905,2240886,1469020,1031742,731430,522537,371131,257148,177497,118846,2168007,1434860,1005401,712165,508804,358963,248985,170402,113067,2215232,1429176,996246,706577,502357,355453,247688,169086,112895,2224235,1433982,996418,709342,502719,357437,248432,170650,114097,2204780,1417121,987758,695991,498447,353012,246315,168685,114688,2044010,1297626,902175,633678,449142,316619,219898,149402,99296,1842689,1160945,797100,556011,394039,273265,187492,125198,82092,1715602,1080837,743427,520534,364875,253772,174694,115718,74825,0
