# PIMD session dump
# session_start_iso: 2026-07-07T16:33:25.562294
# tool: pimd_classviz.py v1.22
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,10000,20000,10000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: Training Session run list:
# session_notes: 1. air @0cm
# session_notes: 2. copper pipe CANARY-START @5cm
# session_notes: 3. air @0cm
# session_notes: 4. brass block @5cm
# session_notes: 5. brass block @10cm
# session_notes: 6. brass block @15cm
# session_notes: 7. air @0cm
# session_notes: 8. collection of copper pieces @5cm
# session_notes: 9. collection of copper pieces @10cm
# session_notes: 10. collection of copper pieces @15cm
# session_notes: 11. air @0cm
# session_notes: 12. aluminium plate @5cm
# session_notes: 13. aluminium plate @10cm
# session_notes: 14. aluminium plate @15cm
# session_notes: 15. air @0cm
# session_notes: 16. silver cake server @5cm
# session_notes: 17. silver cake server @10cm
# session_notes: 18. silver cake server @15cm
# session_notes: 19. air @0cm
# session_notes: 20. copper pipe CANARY-END @5cm
# session_notes: 21. air @0cm
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
# mark: 2026-07-07T16:33:25.562937, air
2026-07-07T16:33:25.590904,18213942,2233410,1462497,1026153,726280,517997,367412,253868,174636,116443,2158622,1426887,998592,706234,503730,354766,245475,167541,110549,2201480,1418857,988082,699901,496807,351104,244026,165996,110321,2210369,1422977,987739,702362,496978,352649,244712,167713,111446,2189388,1405105,978527,688552,492343,348129,242614,165596,112285,2027721,1286487,893421,626564,443515,312252,216503,146713,97236,1826648,1149272,787849,549106,388717,269413,184345,122890,80146,1697082,1068630,733966,513610,359401,249786,171585,113239,73204,0
2026-07-07T16:33:25.709586,18214071,2233371,1462478,1026115,726318,517997,367431,253849,174617,116443,2158775,1426849,998573,706253,503749,354766,245456,167522,110569,2201748,1418914,988159,699920,496845,351104,244026,165996,110340,2210521,1423091,987854,702381,496959,352687,244674,167694,111465,2189312,1405086,978527,688514,492305,348110,242633,165596,112285,2027607,1286354,893440,626564,443496,312271,216484,146732,97217,1826820,1149368,787868,549125,388717,269413,184326,122871,80146,1696662,1068286,733833,513572,359363,249767,171585,113239,73204,0
2026-07-07T16:33:25.845773,18214193,2233410,1462478,1026134,726318,518016,367412,253849,174636,116424,2158985,1426906,998573,706253,503768,354766,245475,167541,110569,2201690,1418876,988159,699882,496845,351085,244007,165996,110340,2210559,1423072,987854,702400,496940,352706,244636,167675,111465,2189254,1405086,978488,688457,492305,348110,242652,165634,112266,2027530,1286335,893440,626564,443515,312252,216503,146751,97217,1827011,1149406,787849,549163,388717,269413,184307,122871,80146,1696529,1068267,733814,513591,359344,249748,171585,113258,73184,0
2026-07-07T16:33:25.956413,18214318,2233390,1462535,1026096,726299,518016,367450,253829,174617,116424,2159099,1427040,998535,706234,503768,354728,245456,167541,110549,2201843,1418857,988101,699844,496845,351104,244007,165977,110359,2210865,1423053,987873,702381,496940,352706,244636,167655,111465,2189350,1405067,978508,688476,492324,348129,242671,165634,112285,2027454,1286354,893440,626564,443515,312232,216522,146751,97198,1826725,1149234,787830,549163,388698,269393,184307,122833,80165,1696586,1068248,733737,513515,359230,249729,171566,113239,73184,0
2026-07-07T16:33:26.090560,18214452,2233390,1462554,1026096,726280,518016,367431,253829,174617,116443,2159519,1427040,998573,706234,503788,354728,245456,167579,110549,2201786,1418838,988082,699882,496845,351085,244026,165977,110359,2211055,1423072,987949,702419,496959,352725,244636,167655,111465,2189273,1405048,978508,688400,492343,348148,242691,165672,112285,2027435,1286335,893440,626544,443496,312213,216522,146770,97217,1826629,1149234,787811,549106,388660,269374,184288,122814,80165,1696662,1068286,733776,513553,359210,249729,171566,113277,73184,0
2026-07-07T16:33:26.219920,18214581,2233333,1462574,1026096,726280,518016,367412,253810,174636,116443,2159595,1427040,998535,706176,503788,354728,245437,167579,110549,2201786,1418819,988082,699882,496826,351085,244007,165977,110378,2211055,1423111,987987,702438,496978,352745,244636,167636,111484,2189293,1405086,978546,688438,492382,348167,242710,165672,112247,2027511,1286315,893421,626525,443477,312213,216522,146808,97198,1826610,1149196,787773,549087,388660,269355,184288,122814,80184,1696586,1068248,733776,513515,359249,249710,171585,113296,73165,0
2026-07-07T16:33:26.334491,18214695,2233333,1462612,1026115,726337,517997,367412,253810,174655,116424,2159729,1427078,998535,706214,503788,354747,245437,167598,110530,2201671,1418762,988044,699920,496826,351066,244007,165977,110378,2210998,1423168,988025,702457,496997,352745,244655,167655,111465,2189331,1405105,978546,688419,492401,348186,242710,165672,112266,2027626,1286430,893402,626544,443458,312232,216522,146827,97198,1826782,1149215,787830,549106,388660,269355,184268,122814,80184,1696548,1068191,733795,513515,359287,249671,171585,113296,73165,0
2026-07-07T16:33:26.470732,18214817,2233314,1462593,1026115,726337,518016,367393,253810,174674,116443,2159767,1427154,998554,706272,503730,354766,245418,167579,110511,2201843,1418762,988044,699920,496807,351066,243988,165939,110378,2211113,1423187,988006,702438,496978,352764,244674,167655,111446,2189273,1405124,978546,688457,492401,348148,242710,165672,112247,2027740,1286487,893459,626544,443458,312232,216522,146827,97217,1826896,1149311,787887,549125,388698,269374,184268,122852,80204,1696090,1068077,733795,513496,359268,249652,171585,113315,73165,0
2026-07-07T16:33:26.610665,18214972,2233562,1462764,1026248,726413,518112,367412,253849,174694,116443,2159938,1427249,998554,706310,503749,354747,245399,167579,110492,2201995,1418743,988044,699920,496788,351066,243949,165958,110359,2211017,1423149,987968,702400,496978,352745,244674,167655,111465,2189350,1405258,978565,688495,492439,348167,242729,165691,112247,2028064,1286468,893478,626544,443477,312213,216522,146846,97217,1826839,1149330,787887,549144,388736,269374,184249,122852,80204,1696357,1068096,733814,513439,359268,249652,171623,113296,73165,0
2026-07-07T16:33:26.763061,18215124,2233352,1462631,1026191,726337,518035,367336,253829,174694,116424,2159614,1427040,998458,706291,503711,354728,245361,167579,110492,2202415,1418876,988082,699939,496826,351085,243968,165939,110340,2211113,1423168,987968,702419,496978,352725,244674,167636,111503,2189254,1405181,978546,688457,492458,348186,242710,165672,112228,2027950,1286468,893478,626544,443477,312232,216503,146846,97198,1826763,1149311,787887,549125,388736,269355,184249,122852,80184,1696472,1068134,733757,513477,359287,249671,171604,113296,73165,0
2026-07-07T16:33:26.915170,18215276,2233371,1462669,1026229,726356,518054,367336,253810,174694,116443,2159099,1427021,998439,706329,503730,354747,245342,167560,110492,2202530,1419048,988159,699958,496864,351104,243988,165939,110340,2211418,1423301,988025,702457,496997,352745,244712,167655,111560,2189273,1405239,978565,688457,492477,348205,242691,165653,112247,2027645,1286392,893459,626564,443515,312232,216503,146827,97198,1826725,1149292,787887,549125,388717,269317,184230,122852,80204,1696453,1068096,733737,513458,359325,249671,171604,113315,73165,0
2026-07-07T16:33:27.047607,18215406,2233448,1462669,1026210,726337,518074,367336,253829,174694,116405,2158870,1426963,998420,706329,503730,354747,245323,167579,110530,2202568,1419105,988197,700016,496864,351104,243988,165920,110359,2211475,1423397,988140,702533,496997,352764,244712,167655,111560,2189388,1405201,978622,688495,492477,348186,242710,165653,112247,2027664,1286392,893459,626564,443496,312232,216503,146827,97217,1826820,1149311,787887,549125,388736,269336,184249,122833,80184,1696472,1068153,733833,513515,359344,249652,171604,113334,73165,0
2026-07-07T16:33:27.169584,18215531,2233429,1462631,1026191,726318,518093,367355,253829,174694,116386,2158813,1426925,998458,706329,503730,354728,245285,167579,110530,2202758,1419105,988235,700054,496864,351104,243968,165920,110378,2211437,1423492,988197,702552,497035,352802,244712,167675,111560,2189273,1405143,978546,688514,492496,348186,242691,165672,112247,2027797,1286430,893497,626544,443515,312252,216484,146827,97217,1827011,1149330,787963,549125,388736,269355,184230,122852,80184,1696491,1068153,733833,513515,359344,249671,171585,113334,73165,0
2026-07-07T16:33:27.308421,18215669,2233333,1462631,1026172,726299,518074,367336,253849,174674,116386,2159443,1427078,998497,706310,503768,354747,245323,167579,110549,2202644,1419067,988216,700035,496845,351104,243949,165920,110378,2211361,1423511,988178,702457,497016,352783,244674,167694,111598,2189331,1405181,978565,688457,492477,348186,242729,165691,112285,2027626,1286354,893459,626544,443515,312271,216484,146827,97236,1826725,1149292,787925,549106,388698,269317,184230,122833,80165,1696777,1068248,733890,513553,359344,249671,171585,113353,73184,0
2026-07-07T16:33:27.445737,18215806,2233352,1462688,1026210,726242,518035,367317,253849,174674,116386,2159671,1427078,998516,706310,503749,354766,245285,167579,110549,2202530,1419010,988178,700016,496864,351104,243949,165901,110378,2211418,1423492,988159,702495,497016,352745,244636,167675,111598,2189331,1405201,978527,688438,492496,348205,242710,165672,112304,2027721,1286335,893478,626544,443515,312290,216484,146808,97236,1826610,1149292,787906,549125,388679,269336,184230,122833,80184,1696777,1068115,733871,513515,359344,249691,171585,113353,73184,0
