# PIMD session dump
# session_start_iso: 2026-07-07T16:45:24.936267
# tool: pimd_classviz.py v1.22
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,10000,20000,10000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: Training Session run list:
# session_notes: 1. air @0cm
# session_notes: 2. copper pipe CANARY-START @5cm
# session_notes: 3. air @0cm
# session_notes: 4. lead pipe @5cm
# session_notes: 5. lead pipe @10cm
# session_notes: 6. lead pipe @15cm
# session_notes: 7. air @0cm
# session_notes: 8. stainless steel disc @5cm
# session_notes: 9. stainless steel disc @10cm
# session_notes: 10. stainless steel disc @15cm
# session_notes: 11. air @0cm
# session_notes: 12. stainless scissors @5cm
# session_notes: 13. stainless scissors @10cm
# session_notes: 14. stainless scissors @15cm
# session_notes: 15. air @0cm
# session_notes: 16. collection of silver jewelry @5cm
# session_notes: 17. collection of silver jewelry @10cm
# session_notes: 18. collection of silver jewelry @15cm
# session_notes: 19. air @0cm
# session_notes: 20. copper pipe CANARY-END @5cm
# session_notes: 21. air @0cm
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
# mark: 2026-07-07T16:45:24.938260, air
2026-07-07T16:45:25.034456,18933418,2232666,1461944,1025638,725936,517768,367279,253791,174598,116252,2157173,1425857,998096,705947,503597,354728,245380,167465,110473,2201366,1418743,987701,699787,496730,350856,243740,165824,110321,2210102,1422557,987377,702095,496902,352439,244541,167655,111541,2188835,1404800,978298,688209,492210,347843,242481,165424,112018,2027072,1285915,892696,626335,443058,312042,216350,146617,97064,1824474,1148338,787410,548725,388374,268898,184116,122623,80089,1695690,1067371,733222,512886,359077,249404,171279,113086,72879,0
2026-07-07T16:45:25.157976,18933546,2232627,1461963,1025600,725917,517730,367279,253791,174636,116291,2157325,1425895,998096,705966,503635,354747,245380,167484,110473,2201347,1418762,987777,699787,496749,350837,243759,165843,110321,2210083,1422500,987396,702133,496902,352458,244560,167655,111522,2188854,1404838,978355,688209,492229,347862,242481,165386,112018,2027244,1286010,892791,626354,443077,312042,216350,146636,97084,1824417,1148262,787372,548763,388412,268898,184116,122623,80089,1695537,1067390,733222,512943,359077,249385,171279,113086,72898,0
2026-07-07T16:45:25.279395,18933667,2232666,1461982,1025657,725917,517711,367279,253810,174655,116271,2157001,1425876,998134,705928,503616,354728,245380,167503,110492,2201442,1418838,987815,699787,496788,350837,243759,165824,110340,2210044,1422443,987415,702171,496902,352478,244541,167636,111484,2188835,1404838,978317,688247,492210,347862,242462,165386,111999,2027187,1286048,892772,626316,443096,312042,216350,146636,97084,1824379,1148262,787372,548744,388412,268917,184116,122623,80070,1695079,1067409,733242,512981,359058,249385,171279,113086,72898,0
2026-07-07T16:45:25.417902,18933793,2232666,1462020,1025714,725898,517692,367259,253810,174636,116291,2157039,1425876,998153,705909,503597,354690,245361,167465,110473,2201976,1418933,987930,699825,496788,350856,243759,165843,110301,2210121,1422462,987472,702209,496921,352497,244579,167636,111465,2188968,1404857,978355,688266,492210,347862,242462,165424,111999,2026844,1285877,892620,626201,443058,312061,216331,146617,97084,1824474,1148319,787334,548744,388412,268898,184116,122623,80051,1695041,1067371,733261,513000,359058,249404,171260,113067,72898,0
2026-07-07T16:45:25.523017,18933911,2232723,1462040,1025733,725917,517692,367221,253829,174636,116291,2156982,1425819,998134,705871,503616,354671,245361,167446,110435,2201919,1418895,987873,699825,496807,350856,243759,165805,110282,2210102,1422443,987472,702247,496940,352535,244560,167655,111446,2188892,1404838,978336,688266,492172,347824,242443,165405,112018,2026729,1285877,892601,626220,443058,312061,216331,146617,97064,1824340,1148452,787353,548725,388412,268898,184135,122604,80051,1695041,1067371,733242,512962,359077,249366,171241,113067,72898,0
2026-07-07T16:45:25.668856,18934056,2232780,1462040,1025695,725917,517673,367202,253829,174655,116271,2156658,1425857,998172,705871,503597,354671,245361,167427,110416,2202072,1418933,987873,699825,496826,350856,243740,165805,110244,2210254,1422481,987453,702247,496959,352535,244541,167655,111446,2188930,1404876,978374,688247,492172,347824,242424,165443,112018,2026386,1285896,892601,626201,443058,312080,216369,146598,97045,1824417,1148510,787353,548725,388412,268917,184135,122623,80070,1695079,1067409,733184,512943,359058,249366,171298,113105,72898,0
2026-07-07T16:45:25.834445,18934185,2232780,1462001,1025676,725994,517673,367183,253849,174655,116252,2156868,1425800,998134,705871,503597,354671,245361,167427,110416,2202015,1418972,987873,699844,496864,350856,243778,165824,110263,2210235,1422481,987472,702190,496940,352535,244522,167655,111427,2188987,1404857,978355,688209,492134,347824,242404,165443,112018,2026386,1285800,892639,626201,443038,312099,216369,146579,97045,1824379,1148471,787315,548725,388431,268917,184135,122623,80070,1694946,1067371,733146,512943,359096,249347,171298,113124,72917,0
2026-07-07T16:45:25.919052,18934305,2232990,1462078,1025829,726051,517730,367240,253849,174713,116310,2157268,1425991,998210,705909,503616,354690,245361,167427,110397,2202205,1419048,987911,699882,496864,350856,243778,165843,110263,2210388,1422557,987548,702266,496959,352554,244522,167675,111427,2188816,1404838,978336,688190,492095,347824,242404,165462,111999,2026519,1285743,892658,626144,442981,312080,216350,146560,97084,1824379,1148490,787277,548667,388412,268898,184135,122623,80070,1695156,1067562,733318,513019,359153,249443,171318,113162,72937,0
2026-07-07T16:45:26.061807,18934450,2232780,1461963,1025714,725955,517692,367202,253791,174674,116310,2157669,1425914,998191,705890,503578,354690,245361,167427,110359,2202148,1419048,987873,699901,496864,350837,243759,165805,110263,2210464,1422634,987587,702266,496959,352573,244503,167675,111427,2188854,1404800,978298,688152,492095,347824,242404,165443,111961,2026424,1285648,892601,626125,443000,312061,216369,146560,97103,1824665,1148624,787353,548725,388469,268917,184135,122604,80070,1695232,1067600,733299,513000,359115,249443,171337,113162,72937,0
2026-07-07T16:45:26.207899,18934590,2232742,1461925,1025695,725955,517711,367183,253829,174655,116329,2157173,1425914,998172,705890,503559,354709,245380,167407,110359,2202148,1419086,987873,699920,496883,350837,243778,165805,110282,2210235,1422557,987567,702247,496959,352535,244503,167655,111408,2188816,1404819,978279,688190,492134,347843,242424,165481,111942,2026481,1285629,892601,626125,443000,312042,216388,146541,97141,1824665,1148567,787353,548725,388507,268936,184135,122604,80108,1695289,1067638,733299,512962,359096,249443,171337,113143,72937,0
2026-07-07T16:45:26.322923,18934711,2232761,1461963,1025676,725898,517673,367164,253791,174674,116329,2157478,1426010,998172,705890,503559,354709,245380,167388,110359,2202472,1419220,987930,699939,496883,350856,243778,165805,110282,2210483,1422615,987682,702323,496978,352573,244522,167636,111408,2188797,1404724,978240,688190,492134,347843,242404,165481,111923,2026538,1285648,892639,626106,443019,312042,216369,146560,97141,1824684,1148605,787353,548725,388546,268955,184135,122604,80108,1695232,1067733,733280,512924,359077,249443,171356,113124,72937,0
2026-07-07T16:45:26.450982,18934838,2232780,1461963,1025695,725917,517673,367164,253829,174674,116329,2157688,1426067,998115,705890,503578,354728,245380,167407,110359,2202701,1419239,987949,699939,496902,350837,243778,165767,110282,2210369,1422596,987663,702343,496978,352554,244522,167655,111427,2188739,1404686,978202,688190,492095,347843,242347,165500,111923,2026367,1285533,892562,626125,443058,312080,216369,146560,97141,1824722,1148643,787372,548763,388526,268936,184135,122604,80146,1695404,1067829,733337,512962,359096,249443,171356,113124,72917,0
2026-07-07T16:45:26.573282,18934961,2232856,1461982,1025714,725917,517692,367164,253810,174636,116329,2157840,1426010,998134,705909,503578,354690,245399,167407,110359,2202777,1419239,987987,699939,496902,350818,243759,165805,110263,2210312,1422576,987625,702323,496959,352554,244522,167655,111408,2188854,1404762,978298,688190,492134,347862,242347,165500,111923,2026214,1285591,892543,626106,443077,312099,216388,146541,97122,1824741,1148719,787429,548782,388546,268974,184135,122623,80127,1695556,1067924,733337,512962,359096,249443,171375,113124,72937,0
2026-07-07T16:45:26.686500,18935074,2232914,1461944,1025733,725898,517711,367145,253810,174617,116348,2158336,1426143,998153,705909,503559,354690,245399,167388,110378,2202777,1419105,987892,699920,496864,350799,243759,165805,110263,2210407,1422672,987644,702362,496978,352535,244522,167675,111408,2188835,1404819,978317,688152,492134,347862,242347,165500,111904,2026348,1285648,892505,626125,443058,312118,216350,146522,97103,1824970,1148872,787506,548820,388526,268974,184116,122623,80108,1695652,1067943,733356,513000,359096,249423,171375,113143,72956,0
2026-07-07T16:45:26.801029,18935189,2232990,1461982,1025733,725917,517692,367164,253791,174636,116367,2158336,1426258,998153,705909,503578,354709,245380,167407,110359,2202816,1419143,987968,699939,496883,350799,243740,165805,110282,2210655,1422805,987739,702400,496978,352554,244541,167655,111427,2188797,1404781,978260,688152,492115,347843,242347,165481,111904,2026405,1285724,892601,626182,443077,312118,216350,146541,97103,1825008,1148929,787487,548839,388526,268993,184135,122604,80127,1695785,1067981,733413,513038,359077,249423,171356,113143,72956,0
