# PIMD session dump
# session_start_iso: 2026-07-07T17:02:49.694750
# tool: pimd_classviz.py v1.22
# firmware_v_response (V<fw>,<board_id>,<num_profiles>,<active_idx>,<freq_hz>,<pulse_ns>,<delay_ns>,<downsample>): V4.23,E6632C8593781522,5,5,10000,20000,10000,256
# active_profile_idx: 5
# n_bands: 8  n_cells: 9  n_channels: 72
# profile_json: {"name":"cal_72_air_v2","averages":32,"bands":[{"freq_hz":50000,"pulse_us":6.0,"delays_us":[6.272,6.872,7.328,7.736,8.104,8.448,8.784,9.088,9.376],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":25000,"pulse_us":9.0,"delays_us":[6.8,7.376,7.832,8.24,8.608,8.96,9.296,9.608,9.904],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":20000,"pulse_us":13.44,"delays_us":[7.256,7.872,8.336,8.744,9.12,9.472,9.808,10.128,10.424],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":15625,"pulse_us":20.0,"delays_us":[7.728,8.352,8.824,9.232,9.616,9.968,10.312,10.632,10.936],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":10000,"pulse_us":30.0,"delays_us":[8.216,8.848,9.32,9.744,10.12,10.48,10.824,11.152,11.448],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":6250,"pulse_us":45.0,"delays_us":[8.776,9.416,9.888,10.312,10.696,11.056,11.4,11.728,12.032],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":4000,"pulse_us":67.2,"delays_us":[9.328,9.968,10.448,10.872,11.248,11.616,11.96,12.288,12.584],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]},{"freq_hz":3125,"pulse_us":100.0,"delays_us":[9.752,10.384,10.856,11.272,11.656,12.016,12.352,12.68,12.976],"threshold_v":[4.2,3.22,2.47,1.89,1.45,1.11,0.85,0.65,0.5]}]}
# colmap_fields: col_index,band_index,freq_hz,pulse_us,delay_us,threshold_v
# colmap: 0,0,50000,6.0,6.272,4.2
# colmap: 1,0,50000,6.0,6.872,3.22
# colmap: 2,0,50000,6.0,7.328,2.47
# colmap: 3,0,50000,6.0,7.736,1.89
# colmap: 4,0,50000,6.0,8.104,1.45
# colmap: 5,0,50000,6.0,8.448,1.11
# colmap: 6,0,50000,6.0,8.784,0.85
# colmap: 7,0,50000,6.0,9.088,0.65
# colmap: 8,0,50000,6.0,9.376,0.5
# colmap: 9,1,25000,9.0,6.8,4.2
# colmap: 10,1,25000,9.0,7.376,3.22
# colmap: 11,1,25000,9.0,7.832,2.47
# colmap: 12,1,25000,9.0,8.24,1.89
# colmap: 13,1,25000,9.0,8.608,1.45
# colmap: 14,1,25000,9.0,8.96,1.11
# colmap: 15,1,25000,9.0,9.296,0.85
# colmap: 16,1,25000,9.0,9.608,0.65
# colmap: 17,1,25000,9.0,9.904,0.5
# colmap: 18,2,20000,13.44,7.256,4.2
# colmap: 19,2,20000,13.44,7.872,3.22
# colmap: 20,2,20000,13.44,8.336,2.47
# colmap: 21,2,20000,13.44,8.744,1.89
# colmap: 22,2,20000,13.44,9.12,1.45
# colmap: 23,2,20000,13.44,9.472,1.11
# colmap: 24,2,20000,13.44,9.808,0.85
# colmap: 25,2,20000,13.44,10.128,0.65
# colmap: 26,2,20000,13.44,10.424,0.5
# colmap: 27,3,15625,20.0,7.728,4.2
# colmap: 28,3,15625,20.0,8.352,3.22
# colmap: 29,3,15625,20.0,8.824,2.47
# colmap: 30,3,15625,20.0,9.232,1.89
# colmap: 31,3,15625,20.0,9.616,1.45
# colmap: 32,3,15625,20.0,9.968,1.11
# colmap: 33,3,15625,20.0,10.312,0.85
# colmap: 34,3,15625,20.0,10.632,0.65
# colmap: 35,3,15625,20.0,10.936,0.5
# colmap: 36,4,10000,30.0,8.216,4.2
# colmap: 37,4,10000,30.0,8.848,3.22
# colmap: 38,4,10000,30.0,9.32,2.47
# colmap: 39,4,10000,30.0,9.744,1.89
# colmap: 40,4,10000,30.0,10.12,1.45
# colmap: 41,4,10000,30.0,10.48,1.11
# colmap: 42,4,10000,30.0,10.824,0.85
# colmap: 43,4,10000,30.0,11.152,0.65
# colmap: 44,4,10000,30.0,11.448,0.5
# colmap: 45,5,6250,45.0,8.776,4.2
# colmap: 46,5,6250,45.0,9.416,3.22
# colmap: 47,5,6250,45.0,9.888,2.47
# colmap: 48,5,6250,45.0,10.312,1.89
# colmap: 49,5,6250,45.0,10.696,1.45
# colmap: 50,5,6250,45.0,11.056,1.11
# colmap: 51,5,6250,45.0,11.4,0.85
# colmap: 52,5,6250,45.0,11.728,0.65
# colmap: 53,5,6250,45.0,12.032,0.5
# colmap: 54,6,4000,67.2,9.328,4.2
# colmap: 55,6,4000,67.2,9.968,3.22
# colmap: 56,6,4000,67.2,10.448,2.47
# colmap: 57,6,4000,67.2,10.872,1.89
# colmap: 58,6,4000,67.2,11.248,1.45
# colmap: 59,6,4000,67.2,11.616,1.11
# colmap: 60,6,4000,67.2,11.96,0.85
# colmap: 61,6,4000,67.2,12.288,0.65
# colmap: 62,6,4000,67.2,12.584,0.5
# colmap: 63,7,3125,100.0,9.752,4.2
# colmap: 64,7,3125,100.0,10.384,3.22
# colmap: 65,7,3125,100.0,10.856,2.47
# colmap: 66,7,3125,100.0,11.272,1.89
# colmap: 67,7,3125,100.0,11.656,1.45
# colmap: 68,7,3125,100.0,12.016,1.11
# colmap: 69,7,3125,100.0,12.352,0.85
# colmap: 70,7,3125,100.0,12.68,0.65
# colmap: 71,7,3125,100.0,12.976,0.5
# session_notes: Training Session run list:
# session_notes: 1. air @0cm
# session_notes: 2. copper pipe CANARY-START @5cm
# session_notes: 3. air @0cm
# session_notes: 4. solder @5cm
# session_notes: 5. solder @10cm
# session_notes: 6. solder @15cm
# session_notes: 7. air @0cm
# session_notes: 8. copper pipe @5cm
# session_notes: 9. copper pipe @10cm
# session_notes: 10. copper pipe @15cm
# session_notes: 11. air @0cm
# session_notes: 12. copper pipe CANARY-END @5cm
# session_notes: 13. air @0cm
pc_wallclock_iso,firmware_time_ms,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV,ch45_uV,ch46_uV,ch47_uV,ch48_uV,ch49_uV,ch50_uV,ch51_uV,ch52_uV,ch53_uV,ch54_uV,ch55_uV,ch56_uV,ch57_uV,ch58_uV,ch59_uV,ch60_uV,ch61_uV,ch62_uV,ch63_uV,ch64_uV,ch65_uV,ch66_uV,ch67_uV,ch68_uV,ch69_uV,ch70_uV,ch71_uV,flagged
# mark: 2026-07-07T17:02:49.696705, air
2026-07-07T17:02:49.800238,19978226,2232666,1461868,1025581,726070,517692,367164,253753,174331,116138,2157821,1426048,998077,705833,503749,354461,245380,167369,110511,2203560,1419143,987854,699787,496730,350666,243797,165691,110244,2210159,1422329,987472,701999,496635,352611,244312,167503,111522,2188434,1404571,977973,687980,491962,347747,242271,165405,112133,2026310,1285095,892505,626335,443096,312080,216255,146636,97026,1825695,1149082,787639,548763,388336,268993,184001,122699,80089,1695518,1068115,733509,512886,358924,249309,171318,113162,72898,0
2026-07-07T17:02:49.933872,19978360,2232589,1461925,1025562,726089,517673,367164,253734,174331,116119,2157325,1425933,998096,705852,503730,354518,245342,167350,110454,2203426,1419086,987815,699749,496692,350685,243816,165672,110244,2210216,1422386,987453,702018,496616,352592,244312,167503,111541,2188530,1404552,977993,687999,491962,347805,242290,165405,112113,2026386,1285114,892486,626354,443134,312061,216274,146636,97045,1825542,1148986,787601,548744,388355,268993,184001,122718,80089,1695575,1068210,733585,512866,358943,249328,171318,113182,72879,0
2026-07-07T17:02:50.054383,19978480,2232608,1461906,1025562,726070,517673,367183,253734,174293,116138,2157402,1425972,998115,705833,503711,354518,245323,167350,110435,2203445,1419086,987854,699729,496692,350666,243816,165691,110244,2210140,1422443,987434,701980,496654,352573,244312,167503,111541,2188530,1404514,978012,687999,491962,347805,242309,165386,112152,2026290,1284961,892353,626277,443115,312080,216312,146617,97045,1825332,1148986,787601,548744,388355,268974,184040,122737,80089,1695499,1068000,733604,512905,358943,249328,171318,113201,72898,0
2026-07-07T17:02:50.194074,19978611,2232685,1461944,1025600,726070,517654,367164,253715,174293,116119,2157001,1426010,998096,705871,503692,354537,245342,167312,110397,2203502,1419143,987873,699729,496711,350666,243835,165710,110225,2210273,1422519,987491,701980,496673,352573,244331,167484,111541,2188663,1404552,978050,688018,491962,347805,242309,165424,112152,2026214,1285018,892372,626277,443115,312080,216293,146598,97045,1825599,1149158,787658,548782,388374,268974,184040,122699,80089,1695289,1067829,733509,512866,358924,249309,171298,113220,72898,0
2026-07-07T17:02:50.349231,19978761,2232666,1461906,1025581,726051,517654,367164,253715,174293,116119,2157211,1426048,998077,705852,503711,354537,245361,167293,110416,2203464,1419067,987815,699768,496730,350666,243854,165672,110206,2210312,1422538,987472,701980,496673,352592,244350,167465,111541,2188758,1404571,978088,688018,491981,347785,242309,165405,112152,2026233,1285057,892353,626258,443096,312080,216293,146560,97045,1825275,1149063,787620,548782,388374,268936,184059,122699,80070,1695499,1067867,733547,512866,358943,249290,171337,113220,72879,0
2026-07-07T17:02:50.498688,19978924,2232952,1462097,1025695,726127,517711,367240,253734,174293,116157,2157268,1426067,998115,705909,503730,354576,245361,167293,110416,2203464,1419067,987873,699806,496768,350685,243854,165691,110225,2210407,1422500,987491,702018,496673,352592,244369,167465,111503,2188873,1404590,978107,688037,491981,347805,242290,165405,112152,2026348,1285171,892353,626277,443096,312042,216312,146560,97045,1825313,1149082,787620,548744,388374,268955,184078,122699,80070,1695652,1067924,733566,512886,358943,249309,171318,113220,72879,0
2026-07-07T17:02:50.629167,19979056,2232780,1461944,1025600,726032,517654,367202,253715,174274,116138,2157344,1426067,998039,705814,503692,354557,245342,167293,110435,2203292,1418895,987777,699768,496711,350666,243854,165710,110225,2210407,1422462,987434,701999,496654,352592,244369,167484,111484,2188720,1404438,977993,687980,491943,347824,242271,165405,112152,2026252,1285018,892295,626258,443077,312023,216312,146541,97045,1825370,1149101,787639,548763,388374,268955,184078,122680,80070,1695785,1067962,733604,512886,358943,249328,171318,113239,72898,0
2026-07-07T17:02:50.768793,19979189,2232837,1462001,1025619,726013,517635,367183,253715,174293,116138,2157592,1425991,998058,705814,503673,354576,245342,167274,110435,2203865,1418972,987777,699768,496711,350666,243873,165710,110225,2210312,1422424,987358,702018,496597,352611,244350,167465,111465,2188663,1404457,977973,687999,491962,347805,242271,165386,112171,2026310,1284999,892334,626258,443077,311985,216293,146541,97064,1825618,1149196,787735,548801,388393,268955,184078,122699,80089,1695594,1067905,733566,512886,358924,249328,171337,113239,72898,0
2026-07-07T17:02:50.897393,19979316,2232818,1462001,1025638,726032,517635,367183,253696,174274,116157,2157592,1426048,998077,705833,503654,354595,245323,167274,110435,2203674,1418914,987739,699768,496730,350666,243873,165729,110225,2210254,1422405,987300,701999,496578,352592,244350,167465,111465,2188625,1404514,977935,687961,491962,347785,242290,165386,112190,2026329,1284999,892391,626277,443058,311965,216274,146579,97064,1825447,1149101,787658,548820,388393,268955,184078,122718,80089,1695804,1067943,733566,512866,358924,249347,171337,113220,72898,0
2026-07-07T17:02:51.025298,19979452,2232818,1462040,1025638,726032,517616,367183,253677,174274,116157,2158012,1426086,998058,705852,503654,354614,245304,167255,110454,2203579,1418781,987739,699806,496749,350646,243873,165748,110225,2210331,1422519,987377,702018,496578,352630,244369,167484,111446,2188587,1404438,977916,687904,491943,347805,242290,165386,112209,2026290,1284999,892372,626258,443058,311985,216255,146522,97045,1825389,1149139,787639,548801,388412,268955,184116,122718,80108,1695671,1067981,733566,512886,358963,249347,171318,113220,72917,0
2026-07-07T17:02:51.158195,19979584,2232875,1462040,1025638,726032,517616,367183,253696,174274,116138,2157955,1426124,998077,705890,503616,354595,245323,167236,110416,2203197,1418705,987682,699787,496711,350627,243854,165786,110187,2210331,1422519,987377,701999,496578,352611,244369,167484,111427,2188587,1404399,977916,687923,491943,347805,242290,165367,112228,2026424,1284999,892353,626220,443058,311946,216255,146522,97064,1825447,1149139,787639,548782,388431,268955,184135,122699,80108,1695575,1067924,733566,512847,358963,249347,171318,113201,72917,0
2026-07-07T17:02:51.294224,19979712,2232914,1462020,1025638,726070,517635,367202,253715,174274,116138,2157974,1426143,998058,705852,503635,354595,245304,167217,110416,2203273,1418781,987720,699806,496692,350666,243892,165786,110187,2210445,1422576,987415,701999,496597,352592,244407,167503,111446,2188625,1404399,977916,687885,491943,347824,242290,165386,112209,2026405,1284999,892353,626239,443077,311965,216236,146522,97064,1825294,1149044,787563,548763,388412,268936,184135,122680,80127,1695575,1067943,733547,512828,358982,249328,171298,113182,72917,0
2026-07-07T17:02:51.409700,19979836,2232933,1462040,1025638,726089,517635,367202,253715,174255,116081,2157764,1426258,998077,705852,503635,354595,245285,167179,110397,2203140,1418743,987625,699787,496673,350666,243873,165786,110206,2210369,1422653,987434,702037,496597,352592,244388,167484,111427,2188739,1404399,977973,687961,492000,347862,242328,165386,112190,2026577,1285133,892391,626220,443096,311985,216274,146522,97064,1825313,1149044,787544,548782,388431,268955,184135,122699,80127,1695442,1067848,733566,512809,359001,249328,171298,113143,72917,0
2026-07-07T17:02:51.535196,19979961,2232933,1462059,1025657,726070,517654,367202,253715,174274,116081,2157936,1426258,998096,705852,503616,354576,245265,167179,110378,2202949,1418743,987644,699787,496673,350646,243835,165786,110187,2210254,1422596,987339,701980,496597,352573,244369,167465,111408,2188778,1404438,978012,687999,492019,347881,242366,165405,112171,2026405,1285095,892410,626182,443096,311985,216274,146522,97103,1825256,1148948,787467,548782,388431,268955,184135,122699,80108,1695346,1067752,733490,512809,358963,249328,171279,113105,72898,0
